ISO_A3,Year,Capacity_kt,Source
CHN,2021,127.6,IEA-anchored growth
AUS,2021,216.7,IEA-anchored growth
RUS,2021,22.5,Theoretical growth
CAN,2021,16.9,IEA-anchored growth
KAZ,2021,16.2,Theoretical growth
USA,2021,52.9,IEA-anchored growth
DZA,2021,13.8,Theoretical growth
ATA,2021,11.0,Theoretical growth
LBY,2021,9.5,Theoretical growth
SAU,2021,58.4,IEA-anchored growth
IND,2021,27.4,IEA-anchored growth
MRT,2021,6.3,IEA-anchored growth
BRA,2021,43.2,IEA-anchored growth
ZAF,2021,8.7,IEA-anchored growth
MEX,2021,4.5,IEA-anchored growth
ARG,2021,4.3,IEA-anchored growth
EGY,2021,14.4,IEA-anchored growth
MAR,2021,52.6,IEA-anchored growth
PER,2021,2.8,IEA-anchored growth
GBR,2021,7.2,IEA-anchored growth
MNG,2021,2.5,Theoretical growth
PAK,2021,2.5,Theoretical growth
TKM,2021,2.4,Theoretical growth
NAM,2021,21.4,IEA-anchored growth
CHL,2021,39.6,IEA-anchored growth
IRN,2021,2.1,Theoretical growth
SDN,2021,2.0,Theoretical growth
GRL,2021,2.0,Theoretical growth
UZB,2021,1.9,IEA-anchored growth
TCD,2021,1.8,Theoretical growth
BWA,2021,1.6,Theoretical growth
NER,2021,1.5,Theoretical growth
COD,2021,1.5,Theoretical growth
NOR,2021,15.6,IEA-anchored growth
MLI,2021,1.3,Theoretical growth
OMN,2021,64.0,IEA-anchored growth
IDN,2021,5.6,IEA-anchored growth
DEU,2021,20.4,IEA-anchored growth
FRA,2021,4.4,IEA-anchored growth
DNK,2021,14.6,IEA-anchored growth
SWE,2021,18.6,IEA-anchored growth
IRL,2021,1.0,IEA-anchored growth
BOL,2021,1.0,Theoretical growth
TUR,2021,0.9,Theoretical growth
AFG,2021,0.8,Theoretical growth
TUN,2021,10.4,IEA-anchored growth
AGO,2021,0.8,Theoretical growth
UKR,2021,0.8,Theoretical growth
ETH,2021,0.7,Theoretical growth
COL,2021,5.1,IEA-anchored growth
NZL,2021,1.7,IEA-anchored growth
ESP,2021,53.9,IEA-anchored growth
NLD,2021,24.2,IEA-anchored growth
SOM,2021,0.6,Theoretical growth
PRT,2021,10.9,IEA-anchored growth
FIN,2021,10.2,IEA-anchored growth
TZA,2021,0.6,Theoretical growth
VEN,2021,0.6,Theoretical growth
NGA,2021,0.6,Theoretical growth
IRQ,2021,0.6,Theoretical growth
JPN,2021,0.5,IEA-anchored growth
MOZ,2021,0.5,Theoretical growth
ZMB,2021,0.5,Theoretical growth
POL,2021,0.8,IEA-anchored growth
YEM,2021,0.4,Theoretical growth
MDG,2021,0.4,Theoretical growth
MMR,2021,0.4,Theoretical growth
SSD,2021,0.4,Theoretical growth
CAF,2021,0.4,Theoretical growth
KEN,2021,0.4,Theoretical growth
PRY,2021,2.0,IEA-anchored growth
ITA,2021,6.6,IEA-anchored growth
THA,2021,0.3,Theoretical growth
PNG,2021,0.3,Theoretical growth
CMR,2021,0.3,Theoretical growth
URY,2021,6.1,IEA-anchored growth
BLR,2021,0.3,Theoretical growth
SYR,2021,0.3,Theoretical growth
ARE,2021,0.3,IEA-anchored growth
PHL,2021,0.2,Theoretical growth
ZWE,2021,0.2,Theoretical growth
COG,2021,0.2,Theoretical growth
MYS,2021,5.4,IEA-anchored growth
ROU,2021,1.2,IEA-anchored growth
VNM,2021,0.2,Theoretical growth
CIV,2021,0.2,Theoretical growth
BFA,2021,0.2,Theoretical growth
GRC,2021,1.0,IEA-anchored growth
GUY,2021,0.2,Theoretical growth
GAB,2021,0.2,Theoretical growth
ECU,2021,0.2,Theoretical growth
UGA,2021,0.2,Theoretical growth
GHA,2021,0.2,Theoretical growth
GIN,2021,0.2,Theoretical growth
SEN,2021,0.2,Theoretical growth
KGZ,2021,0.1,Theoretical growth
TJK,2021,0.1,Theoretical growth
LAO,2021,0.1,Theoretical growth
PRK,2021,0.1,Theoretical growth
ERI,2021,0.1,Theoretical growth
AUT,2021,3.3,IEA-anchored growth
KHM,2021,0.1,Theoretical growth
JOR,2021,3.6,IEA-anchored growth
CZE,2021,0.2,IEA-anchored growth
HUN,2021,0.1,IEA-anchored growth
ISL,2021,0.6,IEA-anchored growth
NPL,2021,0.1,Theoretical growth
LVA,2021,0.1,Theoretical growth
KWT,2021,0.1,Theoretical growth
SUR,2021,0.1,Theoretical growth
BGR,2021,0.1,Theoretical growth
KOR,2021,0.7,IEA-anchored growth
CUB,2021,0.1,Theoretical growth
ESH,2021,0.1,Theoretical growth
BGD,2021,0.1,Theoretical growth
LTU,2021,0.1,Theoretical growth
SRB,2021,1.8,IEA-anchored growth
NIC,2021,0.1,Theoretical growth
AZE,2021,0.1,Theoretical growth
CHE,2021,0.2,IEA-anchored growth
BEN,2021,0.1,Theoretical growth
HND,2021,0.1,Theoretical growth
MWI,2021,0.1,Theoretical growth
GTM,2021,0.1,Theoretical growth
HRV,2021,0.1,Theoretical growth
EST,2021,5.2,IEA-anchored growth
LBR,2021,0.1,Theoretical growth
GEO,2021,0.1,Theoretical growth
DJI,2021,0.1,Theoretical growth
LKA,2021,0.1,Theoretical growth
BEL,2021,1.1,IEA-anchored growth
LSO,2021,0.1,Theoretical growth
QAT,2021,0.1,Theoretical growth
BIH,2021,0.1,Theoretical growth
SLE,2021,0.0,Theoretical growth
PAN,2021,4.7,IEA-anchored growth
MDA,2021,0.0,Theoretical growth
CRI,2021,0.0,IEA-anchored growth
TGO,2021,0.0,Theoretical growth
SVK,2021,0.3,IEA-anchored growth
BTN,2021,0.0,Theoretical growth
TWN,2021,0.0,Theoretical growth
DOM,2021,0.0,Theoretical growth
ISR,2021,0.0,Theoretical growth
ARM,2021,0.0,Theoretical growth
GNB,2021,0.0,Theoretical growth
SLB,2021,0.0,Theoretical growth
