,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Total Yearly Cost,Total Cost per kg H2,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,3050.3732352301477,1.9270563459996723,2.220125387760187,2.9479935234286145,,1.9270563459996723,NH3,8445.575087233432,,2376702826.732929,58548057.373590946,36987735245.76608,4395009907.107467,70.5530756319323,1.4838692748841569,6996.760606795728,16045076374.913065,1829873176.2553039,29.374946434683388,Wind,1054970760.2610699,2884843936.5163736,2.3390626512294923,5261546763.249303,4.266118997229165,423.3760000000001,True,202.0,2028
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,3050.3732352301477,1.907664703634985,2.204331677895998,2.932199813564426,,1.907664703634985,NH3,8111.990885428323,,2352786467.8164816,57716463.99046928,36462376125.978966,4332584929.722079,69.55096773140848,1.1603646196107644,8947.427310931513,20518374520.83781,2201096281.2115993,35.334189383816934,Wind,1054970760.2610699,3256067041.472669,2.640054357950813,5608853509.28915,4.5477190615857985,423.3760000000001,True,402.0,2028
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,1792.3914324406885,1.8895559831286932,2.183024062340875,2.8457445798419387,,1.8895559831286932,NH3,8046.443374642074,,2330452379.1920547,67859871.92517002,42870474088.72616,5094017167.864125,81.77423626132709,2.5132741228718345,4130.97719570698,9473218869.853182,1284498093.0896077,20.6200425087251,Wind,1054970760.2610699,2339468853.3506775,1.8968666378519008,4669921232.542732,3.786422620980594,135.00954510603214,True,45.0,2028
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8090.788149711213,,2329841009.026037,62355712.72348958,39393221513.064545,4680838058.140257,75.1414737433768,2.5132741228718345,4130.97719570698,9473218869.853182,1284498093.0896077,20.6200425087251,Wind,1054970760.2610699,2339468853.3506775,1.8968666378519008,4669309862.376715,3.78592691544058,135.00954510603214,True,43.0,2028
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8037.400982760813,,2329841009.026037,53517588.845706604,33809736753.275146,4017389196.716201,64.49113194954516,0.24317353421849724,42694.93438712489,97908663960.57062,8623441182.469011,138.43206518609995,Solar,1054970760.2610699,5072359956.977271,4.112724289441031,7402200966.003308,6.00178456702971,135.00954510603214,True,3534.0,2028
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1499.124554177466,1.741473759447357,2.0933418818339478,2.734902913534851,,1.741473759447357,NH3,8611.91283695068,,2147817636.65174,53300309.242773995,33672470364.12247,4001078732.281698,64.2293001322884,0.2331130235683475,44537.52917455503,102134129966.0272,8974097579.441317,144.0611508581025,Solar,1054970760.2610699,5056049492.5427685,4.099499588548191,7203867129.194509,5.840973347995549,135.00954510603214,True,3379.0,2028
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8109.86460590045,,2329841009.026037,53551171.34292819,33830952495.894886,4019910124.2177315,64.53160038816927,0.7528427183742403,13790.766430688846,31625192440.35212,3122811601.712324,50.13048156355337,Wind,1054970760.2610699,4177782361.973394,3.3873911043027523,6507623370.999432,5.276451381891431,135.00954510603214,True,2122.0,2028
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,1034.295424098316,1.8703449835920953,2.164307839652474,2.7628312305466753,,1.8703449835920953,NH3,8981.132914578508,,2306758813.0969176,48211182.725903146,30457414687.089314,3619054759.7790747,58.09667090166907,0.8094902834755917,12825.698220325907,29412083544.324673,2939153564.803212,47.18221986623475,Wind,1054970760.2610699,3994124325.064282,3.238479182484553,6300883138.1612,5.108824166076649,423.3760000000001,True,1681.0,2028
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1320.6870372117187,1.8824109204765782,2.1726282926335383,2.7994057097046836,,1.8824109204765782,NH3,8280.466581319677,,2321640135.254446,45269916.67746462,28599269860.988274,3398263601.1614532,54.55231135708202,0.7517865463400301,13810.1408420897,31669622131.192734,3126498663.7520247,50.189669955034795,Wind,1054970760.2610699,4181469424.0130944,3.3903806140646715,6503109559.26754,5.27279153454125,135.00954510603214,True,2114.0,2028
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2471.2033132929346,1.9166582110123322,2.207518046495644,2.909100577909668,,1.9166582110123322,NH3,8080.975981437131,,2363878460.248543,50225893.14737732,31730207995.85562,3770292438.0137362,60.52448871696734,0.4767952758852406,21775.127844687184,49935049800.35432,4642281549.558104,74.5225262725871,Solar,1054970760.2610699,4825263198.274806,3.912375566168762,7189141658.523349,5.8290337771810945,135.00954510603214,True,3373.0,2028
