,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,18440.355817949752,1.8379807107207244,2.216950002295452,3.3053655933172745,,1.8379807107207244,NH3,7945.080767467395,,7433.328206704846,True,837.0,2040
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,18440.355817949752,1.8185890683560368,2.2011562924312633,3.289571883453086,,1.8185890683560368,NH3,7616.860481150902,,7433.328206704846,True,1594.0,2040
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,---,Ocean,Other,,,17392.64845231022,1.811464969899408,2.1959570629248764,3.2704197655608644,,1.811464969899408,NH3,7376.474667141755,,,True,311.0,2040
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,17209.980990985132,1.8111934673439696,2.1955976649111775,3.2675977538196013,,1.8111934673439696,NH3,7368.571095439313,,8522.47753481828,True,167.0,2040
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,17209.980990985132,1.8111934673439696,2.1955976649111775,3.2675977538196013,,1.8111934673439696,NH3,7303.738143656253,,8522.47753481828,True,3801.0,2040
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,16402.583402812423,1.666061679417549,2.110361746929857,3.1713266446995294,,1.666061679417549,NH3,7842.92154122762,,8522.47753481828,True,3516.0,2040
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,17209.980990985132,1.8111934673439696,2.1955976649111775,3.2675977538196013,,1.8111934673439696,NH3,7365.370173231877,,8522.47753481828,True,3805.0,2040
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,---,Ocean,Other,,,16217.262226021843,1.8033131331489087,2.1935752374978845,3.2520187292617777,,1.8033131331489087,NH3,8188.51978258104,,,True,4257.0,2040
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,16698.066739806785,1.8104186491462717,2.1945697741091403,3.259616989114775,,1.8104186491462717,NH3,7520.210531667562,,8522.47753481828,True,2906.0,2040
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,17092.144542076046,1.8305828479003936,2.2089256777038573,3.279332132069302,,1.8305828479003936,NH3,7330.930476067241,,8522.47753481828,True,3593.0,2040
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,Ocean / International,---,Ocean,Other,,,15200.02777997615,1.7325495510554632,2.191370160714058,3.2355826658709765,,1.7325495510554632,NH3,8819.75284831128,,,True,225.0,2040
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,United States of America,USA,North America,North America,,,15200.02777997615,1.7842067510554631,2.191370160714058,3.2355826658709765,,1.7842067510554631,NH3,8723.56565767605,,7433.328206704846,True,1032.0,2040
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,United States of America,USA,North America,North America,,,15899.114938744457,1.807495906844088,2.192900809752434,3.246932894853837,,1.807495906844088,NH3,8244.052048180973,,7433.328206704846,True,3026.0,2040
