,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-17.0,15.0,1737.034935951233,131.02809,3864,-17.395492323651652,14.676105,55.64467169622003,73.1189,Senegal,SEN,Africa,Sub-Saharan Africa,,,29152352.90558747,20355630416.32645,3408640486.211753,67.3130132524392,0.41163688495790224,20502.96321532817,50504949288.31789,6925034403.341679,136.75391536635576,Solar,1335242108.4735603,4743882594.685313,4.743882594685314,3070.0786014166206,1.7010564234107886,2.167020537851587,2.9300269957001164,,1.7010564234107886,NH3,4111.386903647267,,1701056423.4107885,6444939018.096102,6.444939018096102,2.3017394957983193,1.2039098061825935,1.600121362296415,0.8103989827782353,,0.8103989827782353,3.1121384785765547,True,1.1,True,310.0,A
1,-16.0,13.0,1656.7350125312803,90.02382,6886,-16.559203892256697,13.37916,73.71693023377476,146.8141,Senegal,SEN,Africa,Sub-Saharan Africa,,,30565331.860051323,21342242971.280834,3573853129.113984,70.57559282518488,0.2828181715600899,29841.70311196202,73509067275.69604,9894745882.21298,195.39906405299448,Solar,1335242108.4735603,4909095237.587544,4.909095237587544,3070.0786014166206,1.7600125834107887,2.167020537851587,2.9300269957001164,,1.7600125834107887,NH3,4225.046147113599,,1760012583.4107888,6669107820.998333,6.669107820998333,2.3017394957983193,1.2039098061825935,1.600121362296415,0.8103989827782353,,0.8103989827782353,3.1121384785765547,True,1.1,False,,A
2,-16.0,14.0,1681.5549540519714,127.459175,3066,-16.574810909776545,13.44084,87.70754382385651,127.0862,Senegal,SEN,Africa,Sub-Saharan Africa,,,30114184.100949574,21027229048.48804,3521102652.268488,69.53388908396118,0.4004248078126158,21077.05553126881,51919110890.17445,7107595279.803742,140.3590836867981,Solar,1335242108.4735603,4856344760.742048,4.856344760742048,1812.096798627161,1.7318399756675835,2.1490740188429576,2.8474198042230148,,1.7318399756675835,NH3,4135.214799500543,,1731839975.6675835,6588184736.409632,6.588184736409632,2.3017394957983193,1.1036115013941519,1.4909127499602879,0.7005773690026819,,0.7005773690026819,3.002316864801001,True,1.1,False,,A
3,-16.0,15.0,1703.454933166504,159.9279,3864,-17.395492323651652,14.676105,154.4141606332186,214.0003,Senegal,SEN,Africa,Sub-Saharan Africa,,,29727029.741875302,20756898517.26443,3475834607.28331,68.63994660914602,0.502428315744043,16797.970269382073,41378440164.56886,5746849744.330106,113.48740782862308,Solar,1335242108.4735603,4811076715.75687,4.811076715756871,1774.5639437592008,1.7735807064519533,2.148361565053392,2.8442141451786656,,1.7735807064519533,NH3,4046.2548120025813,,1773580706.4519534,6584657422.208824,6.584657422208824,2.3017394957983193,1.1006213528680604,1.487654426995636,0.6973158886271721,,0.6973158886271721,2.9990553844254912,True,1.1,False,,A
4,-16.0,17.0,1756.014952659607,269.54532,6897,-16.113889378512603,18.005648335,111.95514811255713,122.6027,Mauritania,MRT,Africa,Sub-Saharan Africa,,,28837257.55608692,20135615088.537693,3473392994.868621,68.59173023388084,0.8468015971215099,9966.650912153507,24550851191.907734,3691947250.2053347,72.90768715141634,Solar,1388208977.0805721,4861601971.949193,4.861601971949193,1774.5639437592008,1.7277628664519533,2.148361565053392,2.8442141451786656,1.6047777903821139,1.6047777903821139,H2 Gas,3871.1944759552844,,1604777790.382114,6466379762.331306,6.466379762331307,2.3017394957983193,1.1006213528680604,1.487654426995636,0.6973158886271721,1.4555691229591872,0.6973158886271721,2.9990553844254912,True,44.2,True,317.0,A
5,-16.0,18.0,1757.839994430542,396.4073,3132,-16.03128134356399,18.014364999999998,3.674499776085456,4.7238,Mauritania,MRT,Africa,Sub-Saharan Africa,,,28807317.857498985,20114709693.998665,3469786814.941783,68.52051625922208,1.2453502615093655,6777.029861570936,16693857658.007687,2640062541.107294,52.13532067569997,Wind,1388208977.0805721,4028271518.187866,4.028271518187866,1518.829920363939,1.6298171470609706,2.066077494660672,2.7652244763773326,1.5703917779785432,1.5703917779785432,H2 Gas,3785.229444946358,,1570391777.9785433,5598663296.1664095,5.598663296166409,0.5800252100840336,1.0357506988114737,1.376533503452702,0.2792567834016522,1.423246271299831,0.2792567834016522,0.8592819934856859,True,44.2,True,194.0,A
6,-16.0,19.0,1778.2800793647766,427.02444,3132,-16.03128134356399,18.014364999999998,109.14625453168406,122.9917,Mauritania,MRT,Africa,Sub-Saharan Africa,,,28476197.900318164,19883505183.89716,3429904043.929451,67.73292088078405,1.3415368436072956,6291.124951641429,15496928093.378332,2479819071.201314,48.9708711372314,Wind,1388208977.0805721,3868028048.281886,3.8680280482818863,1774.5639437592008,1.7280740664519534,2.148361565053392,2.8442141451786656,1.5364628916196343,1.5364628916196343,H2 Gas,3700.407229049086,,1536462891.6196344,5404490939.901521,5.404490939901521,0.5800252100840336,1.0561139641437038,1.398734426995636,0.30109513387994047,1.3913531181224565,0.30109513387994047,0.8811203439639741,True,44.2,True,181.0,A
7,-15.0,13.0,1653.815050125122,67.05772,3276,-15.580704635140645,11.84803,142.2209160692044,231.341,Senegal,SEN,Africa,Sub-Saharan Africa,,,30619297.76147201,21379924661.94783,3580163095.141536,70.7002005180622,0.21066804051848134,40061.966160565986,98684641243.32219,13144780986.356258,259.57997633196067,Solar,1335242108.4735603,4915405203.615097,4.915405203615097,1054.0007902847888,1.7614024437093923,2.130628034662596,2.7656418814511845,,1.7614024437093923,NH3,4162.922531658306,,1761402443.7093923,6676807647.32449,6.676807647324489,2.3017394957983193,1.0432420193029959,1.4251004998108447,0.6348701217735441,,0.6348701217735441,2.9366096175718632,True,1.1,False,,A
8,-15.0,14.0,1673.8899874687197,151.15063,3066,-16.574810909776545,13.44084,181.22184316724255,242.614,Senegal,SEN,Africa,Sub-Saharan Africa,,,30252080.985776946,21123515548.318752,3537226253.20277,69.85229408083798,0.474853708793469,17773.423170281916,43781273295.355446,6057042951.225688,119.61302874142996,Solar,1335242108.4735603,4872468361.676331,4.87246836167633,1340.3924033981914,1.76701591768673,2.138810202555208,2.8016348950367327,,1.76701591768673,NH3,4072.1886920892584,,1767015917.68673,6639484279.36306,6.63948427936306,2.3017394957983193,1.0660417913148983,1.449962886995991,0.6596511662387801,,0.6596511662387801,2.9613906620370996,True,1.1,False,,A
9,-15.0,15.0,1691.77508354187,138.37459,3066,-16.574810909776545,13.44084,242.17007414402153,323.4288,Senegal,SEN,Africa,Sub-Saharan Africa,,,29932262.24621342,20900202113.41852,3499831429.277032,69.11383008363207,0.43471659538749974,19414.432298912023,47823571081.90999,6578882482.058109,129.91819040240875,Solar,1335242108.4735603,4835073537.750592,4.835073537750592,2490.9086794794075,1.7815379489434056,2.159904285604903,2.8967875263524534,1.6492239603664638,1.6492239603664638,H2 Gas,3982.309900916159,,1649223960.366464,6484297498.117056,6.484297498117056,2.3017394957983193,1.1577140219107689,1.5498421425641946,0.7597148784087596,1.4973485227444763,0.7597148784087596,3.061454374207079,True,1.1,True,320.0,A
