,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-116.0,31.0,1938.1499791145325,41.59796,4109,-116.62098498204458,31.846935,110.92413185891088,161.43370000000002,Mexico,MEX,North America,North America,,,13097454.65223054,9168218256.561378,1303182851.8673756,51.33706930007588,0.13068384554032209,32374.355269032014,77698452645.67683,8371597748.262689,329.7874071463447,Solar,632527825.4845142,1935710677.3518898,3.87142135470378,2827.3686488189364,1.7486780330522664,2.127311716079995,2.886236029656084,,1.7486780330522664,NH3,9459.172089559126,,874339016.5261332,2810049693.878023,5.620099387756047,2.3155633802816897,1.5363442252511939,2.0643717321887753,0.8505354544264395,,0.8505354544264395,3.166098834708129,True,22.4,True,230.0,B
1,-116.0,32.0,1962.969920635224,123.23072,4109,-116.62098498204458,31.846935,61.13083211777302,110.3268,Mexico,MEX,North America,North America,,,12931849.435807725,9052294605.065409,1286705308.4093232,50.68795947700776,0.38714072464858085,10928.339423051191,26228014615.32286,2960457093.0241966,116.62307459517694,Solar,632527825.4845142,1919233133.8938375,3.838466267787675,2827.3686488189364,1.7077925130522664,2.127311716079995,2.886236029656084,,1.7077925130522664,NH3,9386.527142443947,,853896256.5261332,2773129390.4199705,5.546258780839942,2.3155633802816897,1.5363442252511939,2.0643717321887753,0.8505354544264395,,0.8505354544264395,3.166098834708129,True,22.4,True,191.0,B
2,-115.0,31.0,2002.390022277832,152.91353,4109,-116.62098498204458,31.846935,180.4734575237489,252.5849,Mexico,MEX,North America,North America,,,12677266.255950214,8874086379.16515,1261374551.92469,49.69008968520412,0.4803920224824824,8806.984807080074,21136763536.99218,2425208574.646812,95.5377063820145,Solar,632527825.4845142,1893902377.4092042,3.7878047548184086,1569.386846029477,1.7496153934145078,2.1072736795084905,2.7948754840037466,,1.7496153934145078,NH3,9386.805995788787,,874807696.7072539,2768710074.116458,5.537420148232917,2.3155633802816897,1.4317119102990878,1.9506601408350404,0.7362543293605316,,0.7362543293605316,3.051817709642221,True,22.4,True,189.0,B
3,-115.0,32.0,1942.5300097465515,113.28081,4109,-116.62098498204458,31.846935,154.2342521345406,327.2231,Mexico,MEX,North America,North America,,,13067922.417315036,9147545692.120525,1300244425.8036022,51.221314107124314,0.3558821604887012,11888.219509614939,28531726823.075855,3202648752.2051415,126.16387692652766,Solar,632527825.4845142,1932772251.2881165,3.865544502576233,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9314.846790359112,,874524526.0965416,2807296777.384658,5.614593554769316,2.3155633802816897,1.4285925535112658,1.9472674680271977,0.7328603968843074,,0.7328603968843074,3.048423777165997,True,22.4,True,222.0,B
4,-114.0,27.0,1981.584963798523,283.14896,4618,-115.18546331293643,28.039035,164.23251780616548,193.8654,Mexico,MEX,North America,North America,,,12810367.420236012,8967257194.165209,1274617976.6561737,50.211795915635484,0.8895386926075902,4756.178993230217,11414829583.752522,1403131551.8926146,55.27440881639602,Solar,632527825.4845142,1907145802.140688,3.814291604281376,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9600.05847290474,,874524526.0965416,2781670328.2372293,5.563340656474459,2.3155633802816897,1.4285925535112658,1.9472674680271977,0.7328603968843074,,0.7328603968843074,3.048423777165997,True,22.4,True,196.0,B
5,-114.0,28.0,1956.765022277832,126.55517,4618,-115.18546331293643,28.039035,116.6631350289475,278.1711,Mexico,MEX,North America,North America,,,12972856.3070512,9080999414.93584,1290785448.6222255,50.84869090511368,0.3975847923458074,10641.265271952012,25539036652.68483,2888024123.598224,113.7696788758402,Solar,632527825.4845142,1923313274.1067398,3.8466265482134796,1276.1199677662548,1.7447788898841217,2.1002321378758406,2.7636376680323638,,1.7447788898841217,NH3,9528.404031203272,,872389444.9420608,2795702719.0488005,5.591405438097601,2.3155633802816897,1.4073422332493497,1.9241511378075664,0.709759616148518,,0.709759616148518,3.0253229964302077,True,22.4,True,204.0,B
6,-112.0,25.0,1953.4800863265991,87.35044,2692,-112.11642416049798,24.783635,26.69819015542594,33.6023,Mexico,MEX,North America,North America,,,12994671.222069528,9096269855.44867,1292956009.538196,50.934197122451906,0.274419500591836,15417.29080594194,37001497934.26066,4093084593.7122283,161.24135391850763,Solar,632527825.4845142,1925483835.0227103,3.8509676700454207,1531.853991161517,1.6320308921930833,2.0698926455942455,2.791201875929235,,1.6320308921930833,NH3,9588.882370368028,,816015446.0965416,2741499281.119252,5.482998562238504,2.3155633802816897,1.4285925535112658,1.9472674680271977,0.7328603968843074,,0.7328603968843074,3.048423777165997,True,22.4,True,177.0,B
7,-112.0,26.0,1944.720025062561,120.59638,4520,-112.08568043209875,27.189085,132.02340953042744,243.1007,Mexico,MEX,North America,North America,,,13053206.185737474,9137244330.016232,1298780176.363905,51.16363204443402,0.37886470145752305,11167.061030413874,26800946472.993298,3020690014.8014216,118.9958664677776,Solar,632527825.4845142,1931308001.8484192,3.8626160036968384,811.2908376871048,1.7342095315596173,2.0848136221079963,2.696223046769254,,1.7342095315596173,NH3,9518.28899244151,,867104765.7798086,2798412767.6282277,5.596825535256456,2.3155633802816897,1.368733779289956,1.8821342660438667,0.6678784912370844,,0.6678784912370844,2.983441871518774,True,22.4,True,207.0,B
8,-112.0,29.0,1946.9100403785703,133.95264,2922,-110.87482812626264,27.9124,163.31869329940147,264.32809999999995,Mexico,MEX,North America,North America,,,13038523.061773393,9126966143.241375,1297319221.0966482,51.106079751068584,0.4208246297529583,10053.60652471637,24128655659.319286,2739749303.631174,107.92859932418922,Solar,632527825.4845142,1929847046.5811625,3.8596940931623247,1097.6824508005077,1.7412614302877296,2.095104927388756,2.7410891305437195,,1.7412614302877296,NH3,9307.033529412352,,870630715.1438648,2800477761.725027,5.600955523450054,2.3155633802816897,1.3925187620045663,1.908021799556097,0.6936660141639783,,0.6936660141639783,3.009229394445668,True,22.4,True,211.0,B
9,-112.0,31.0,1938.8799262046807,89.07595,2922,-110.87482812626264,27.9124,359.21658129796447,452.2034,Mexico,MEX,North America,North America,,,13092523.73888076,9164766617.216532,1302692231.2168674,51.317741984420145,0.27984035013153175,15118.639043501451,36284733704.40348,4017730425.128825,158.27288163614716,Solar,632527825.4845142,1935220056.7013817,3.8704401134027635,2248.198726881724,1.7580401265521288,2.1195091645225985,2.850130467695813,,1.7580401265521288,NH3,9166.763686933527,,879020063.2760644,2814240119.977446,5.628480239954892,2.3155633802816897,1.4881522685456645,2.0120193584567674,0.797793338166778,,0.797793338166778,3.113356718448468,True,22.4,True,237.0,B
10,-111.0,25.0,1916.25,138.01985,5541,-110.67982476258211,24.395865,74.35001977750507,215.283,Mexico,MEX,North America,North America,,,13247139.705505105,9272997793.853573,1318076355.9708652,51.923778103975664,0.43360214680956527,9757.343856749467,23417625256.19872,2664997938.213081,104.98387363105643,Solar,632527825.4845142,1950604181.4553795,3.901208362910759,944.9485761368956,1.7377654764775488,2.090004854975026,2.7187962620352164,,1.7377654764775488,NH3,9510.89946428738,,868882738.2387744,2819486919.694154,5.638973839388307,2.3155633802816897,1.3798331109707191,1.8942158669876688,0.6799068844973213,,0.6799068844973213,2.9954702647790112,True,22.4,True,250.0,B
