,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,23858485.20206888,16700939641.448215,2049717035.5281873,80.745741357534,1.4838692748841569,2851.198090732072,6842875417.756973,796439020.3544216,31.37460343545138,Wind,589995908.1400578,1386434928.4944794,2.772869856988959,18440.355817949752,2.062536658326554,2.8029060017125063,4.877445386293381,,2.062536658326554,NH3,7945.080767467395,,1031268329.1632769,2417703257.6577563,4.835406515315513,0.5849154929577465,2.800009091476617,3.380262112423665,1.9076382805490364,,1.9076382805490364,2.492553773506783,True,264.6,True,84.0,C
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,23519608.742022637,16463726119.415846,2020603667.8012185,79.59886087609094,1.1603646196107644,3646.0998309866463,8750639594.36795,961865334.0105178,37.89134213873458,Wind,589995908.1400578,1551861242.1505756,3.1037224843011515,18440.355817949752,,,,,,NH3,7616.860481150902,,,,,0.5849154929577465,2.800009091476617,3.380262112423665,1.9076382805490364,,1.9076382805490364,2.492553773506783,True,264.6,True,5141.0,C
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,27653073.778520443,19357151644.96431,2491621129.8482738,98.15393628704055,2.5132741228718345,1683.3839193837289,4040121406.5209494,576412655.9603728,22.706971951078092,Wind,593929050.6857665,1170341706.6461391,2.3406834132922785,17392.64845231022,3.149317849899408,4.705424329365823,8.942593065560866,,3.149317849899408,NH3,7376.474667141755,,1574658924.9497042,2745000631.5958433,5.490001263191687,0.5849154929577465,2.711227496714257,3.285557664747454,1.8025935083114737,,1.8025935083114737,2.38750900126922,True,84.4,True,405.0,C
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,25410114.6308723,17787080241.61061,2289524088.1079254,90.19260544056894,2.5132741228718345,1683.3839193837289,4040121406.5209494,576412655.9603728,22.706971951078092,Wind,593929050.6857665,1170341706.6461391,2.3406834132922785,17209.980990985132,1.8335553073439699,2.402955611352125,4.006679653819601,,1.8335553073439699,NH3,7368.571095439313,,916777653.6719849,2087119360.318124,4.174238720636248,0.5849154929577465,2.69575999884585,3.2690459730284136,1.7843639882085405,,1.7843639882085405,2.369279481166287,True,84.4,True,2.0,C
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,21808556.23233096,15265989362.631672,1965013363.619913,77.40895844292233,0.24317353421849724,17398.296475981686,41755911542.35605,4061601723.0709186,160.0011301774092,Solar,593929050.6857665,2558942414.3056793,5.117884828611358,17209.980990985132,2.0056893073439697,2.704190111352125,4.652182153819601,,2.0056893073439697,NH3,7303.738143656253,,1002844653.6719848,3561787067.977664,7.123574135955328,2.3155633802816897,2.743957687630526,3.3644459730284133,2.2342111776492897,,2.2342111776492897,4.549774557930979,False,84.4,True,2864.0,C
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,21720014.230703127,15204009961.49219,1957035475.7401822,77.09468068645623,0.2331130235683475,18149.1586299349,43557980711.84376,4228124862.1873436,166.56107678861287,Solar,593929050.6857665,2550964526.4259486,5.101929052851897,16402.583402812423,1.6660616794175487,2.110361746929857,3.1713266446995294,,1.6660616794175487,NH3,7842.92154122762,,833030839.7087743,3383995366.1347227,6.767990732269446,2.3155633802816897,2.675608155100244,3.291463625904866,2.152570018880798,,2.152570018880798,4.468133399162488,False,84.4,True,2532.0,C
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,21822241.187032312,15275568830.922619,1966246417.2242975,77.45753286841318,0.7528427183742403,5619.773081663183,13487455395.991638,1449408953.1309097,57.09744243826534,Wind,593929050.6857665,2043338003.8166761,4.086676007633352,17209.980990985132,2.0528619473439695,2.786742231352125,4.829079553819601,,2.0528619473439695,NH3,7365.370173231877,,1026430973.6719848,3069768977.488661,6.139537954977322,0.5849154929577465,2.69575999884585,3.2690459730284136,1.7843639882085405,,1.7843639882085405,2.369279481166287,True,84.4,True,1630.0,C
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,19646181.978345808,13752327384.842066,1687831961.7965665,66.4897840433305,0.8094902834755917,5226.505283399442,12543612680.15866,1290762145.8239067,50.84777292390293,Wind,589995908.1400578,1880758053.9639645,3.761516107927929,16217.262226021843,1.8033131331489087,2.3506731839388317,3.8834006292617778,,1.8033131331489087,NH3,8188.51978258104,,901656566.5744543,2782414620.538419,5.564829241076838,0.5849154929577465,2.6117606914630627,3.1793120593260205,1.685732046169105,,1.685732046169105,2.2706475391268515,True,264.6,True,511.0,C
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,18447608.436541647,12913325905.579153,1662182343.4094112,65.47935313198522,0.7517865463400301,5627.668204549268,13506403690.918243,1451159901.2107658,57.16641859367408,Wind,593929050.6857665,2045088951.8965323,4.090177903793065,16698.066739806785,2.4255844891462712,3.4393347205500877,6.221713889114775,,2.4255844891462712,NH3,7520.210531667562,,1212792244.5731356,3257881196.469668,6.515762392939337,0.5849154929577465,2.652431541199148,3.2227729792465727,1.733410485785638,,1.733410485785638,2.3183259787433848,True,84.4,True,2194.0,C
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,20467181.699489035,14327027189.642324,1844151677.290296,72.64778102416128,0.4767952758852406,8873.421062300962,21296210549.52231,2170989701.9581842,85.52310876365095,Solar,593929050.6857665,2438080727.976063,4.876161455952126,17092.144542076046,2.735271356854219,3.9810337184689066,7.386949246393404,,2.735271356854219,NH3,7330.930476067241,,1367635678.4271095,3805716406.4031725,7.611432812806345,2.3155633802816897,2.733978176784779,3.353794491349415,2.2222649965882706,,2.2222649965882706,4.53782837686996,False,84.4,True,3269.0,C
