,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,47593840.198185675,31649903731.793472,3884412987.810712,76.70845428965728,1.4838692748841569,5687.681558756598,13343300936.84298,1562135417.6070113,30.84867485815373,Wind,1085220450.0538719,2647355867.660883,2.647355867660883,18440.355817949752,2.062536658326554,2.8029060017125063,4.877445386293381,,2.062536658326554,NH3,7945.080767467395,,2062536658.3265538,4709892525.987436,4.709892525987437,0.5800252100840336,2.396780649865833,2.845534372771689,1.8155358641696366,,1.8155358641696366,2.39556107425367,True,370.5,True,85.0,C
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,46917836.17069741,31200361053.51378,3829240326.5324183,75.6189178322864,1.1603646196107644,7273.382665868598,17063355734.127731,1884709328.60617,37.21878694061305,Wind,1085220450.0538719,2969929778.660042,2.969929778660042,18440.355817949752,,,,,,NH3,7616.860481150902,,,,,0.5800252100840336,2.396780649865833,2.845534372771689,1.8155358641696366,,1.8155358641696366,2.39556107425367,True,370.5,True,4859.0,C
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,55163434.02595459,36683683627.2598,4721864193.801857,93.24623947268853,2.5132741228718345,3358.0801368058865,7878056000.9466095,1133093850.2958796,22.37606508217884,Wind,1092484052.780232,2225577903.076112,2.2255779030761116,17392.64845231022,3.149317849899408,4.705424329365823,8.942593065560866,,3.149317849899408,NH3,7376.474667141755,,3149317849.8994083,5374895752.97552,5.37489575297552,0.5800252100840336,2.31170052144652,2.754580221223455,1.7147163594016155,,1.7147163594016155,2.294741569485649,True,118.1,True,519.0,C
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,50689091.31978113,33708245727.654453,4338870658.534663,85.68297516854048,2.5132741228718345,3358.0801368058865,7878056000.9466095,1133093850.2958796,22.37606508217884,Wind,1092484052.780232,2225577903.076112,2.2255779030761116,17209.980990985132,1.8335553073439699,2.402955611352125,4.006679653819601,,1.8335553073439699,NH3,7368.571095439313,,1833555307.3439698,4059133210.4200816,4.0591332104200815,0.5800252100840336,2.2968778917281427,2.7387223924964883,1.697220094239748,,1.697220094239748,2.2772453043237815,True,118.1,True,2.0,C
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,43504561.64688529,28930533495.17872,3723891297.4638443,73.53851052077623,0.24317353421849724,34706.80284960946,81422159485.1838,7929056615.243394,156.58110474841752,Solar,1092484052.780232,4816375350.244076,4.816375350244075,17209.980990985132,2.0056893073439697,2.704190111352125,4.652182153819601,,2.0056893073439697,NH3,7303.738143656253,,2005689307.3439696,6822064657.588045,6.8220646575880455,2.3017394957983193,2.341801775236879,2.827642392496488,2.116511625529804,,2.116511625529804,4.418251121328123,False,118.1,True,2814.0,C
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,43327934.59614792,28813076506.438366,3708772424.5861835,73.2399466521334,0.2331130235683475,36204.652066080926,84936113747.02585,8253769286.821823,162.9934525608691,Solar,1092484052.780232,4801256477.366415,4.801256477366415,16402.583402812423,1.6660616794175487,2.110361746929857,3.1713266446995294,,1.6660616794175487,NH3,7842.92154122762,,1666061679.4175487,6467318156.783964,6.467318156783964,2.3017394957983193,2.276302477762217,2.7575501463190335,2.038192197730902,,2.038192197730902,4.339931693529222,False,118.1,True,2458.0,C
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,43531860.93020774,28948687518.588146,3726228053.8807135,73.58465622499253,0.7528427183742403,11210.543323829701,26299934637.70448,2835397574.789871,55.992749983404366,Wind,1092484052.780232,3927881627.570103,3.927881627570103,17209.980990985132,2.0528619473439695,2.786742231352125,4.829079553819601,,2.0528619473439695,NH3,7365.370173231877,,2052861947.3439696,5980743574.914073,5.980743574914072,0.5800252100840336,2.2968778917281427,2.7387223924964883,1.697220094239748,,1.697220094239748,2.2772453043237815,True,118.1,True,1751.0,C
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,39190972.84100771,26061996939.270126,3198605602.6290255,63.16529484116397,0.8094902834755917,10426.037325769366,24459483566.254932,2526043397.878585,49.88369803311511,Wind,1085220450.0538719,3611263847.932457,3.611263847932457,16217.262226021843,1.8033131331489087,2.3506731839388317,3.8834006292617778,,1.8033131331489087,NH3,8188.51978258104,,1803313133.1489086,5414576981.081366,5.414576981081366,0.5800252100840336,2.216380668419751,2.65254194177671,1.6025554732509446,,1.6025554732509446,2.182580683334978,True,370.5,True,583.0,C
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,36800011.422826216,24472007596.179432,3149997082.980468,62.205385475385945,0.7517865463400301,11226.292824009737,26336882965.126842,2838811845.213921,56.060174175316405,Wind,1092484052.780232,3931295897.994153,3.9312958979941532,16698.066739806785,2.4255844891462712,3.4393347205500877,6.221713889114775,,2.4255844891462712,NH3,7520.210531667562,,2425584489.146271,6356880387.140425,6.356880387140425,0.5800252100840336,2.2553558763750803,2.694281809268409,1.6483161195721137,,1.6483161195721137,2.228341329656147,True,118.1,True,2303.0,C
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,40828735.221976355,27151108922.614277,3494846655.7060165,69.01539197295321,0.4767952758852406,17701.04767647804,41526657849.01748,4242447753.8490834,83.77883881646879,Solar,1092484052.780232,4587330708.486248,4.587330708486248,17092.144542076046,2.735271356854219,3.9810337184689066,7.386949246393404,,2.735271356854219,NH3,7330.930476067241,,2735271356.854219,7322602065.340467,7.322602065340467,2.3017394957983193,2.332238418687986,2.817412709491978,2.1050514983195296,,2.1050514983195296,4.4067909941178485,False,118.1,True,3207.0,C
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,Ocean / International,USA,North America,North America,,,32551862.888383217,21646988820.77484,2656748824.1028614,52.46483738271499,2.5132741228718345,3358.0801368058865,7878056000.9466095,1088232335.6343472,21.490150670509017,Wind,1085220450.0538719,2173452785.688219,2.173452785688219,15200.02777997615,1.7325495510554632,2.2275180471550056,3.6077858658709765,,1.7325495510554632,NH3,8819.75284831128,,1732549551.055463,3906002336.743682,3.9060023367436822,0.5800252100840336,2.13399591668015,2.564233222185675,1.5062830151617013,,1.5062830151617013,2.086308225245735,True,370.5,True,1.0,C
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,United States of America,USA,North America,North America,,,28534768.138359692,18975620812.009193,2328890114.755586,45.99036237237218,0.5053497455844693,16700.861104823558,39180220151.91607,3802509964.094501,75.09105305795647,Solar,1085220450.0538719,3414110564.809458,3.414110564809458,15200.02777997615,1.7842067510554631,2.317918147155005,3.8015003658709765,,1.7842067510554631,NH3,8723.56565767605,,1784206751.055463,5198317315.864921,5.198317315864921,2.3017394957983193,2.1788651246042976,2.653153222185675,1.922419336989695,,1.922419336989695,4.224158832788014,False,370.5,True,302.0,C
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,United States of America,USA,North America,North America,,,37425422.63817112,24887906054.383797,3054508675.170087,60.3197033430535,0.33024026133861556,25556.4717522747,59955482730.83645,5603977433.608189,110.66599976756962,Solar,1085220450.0538719,4139729125.223959,4.139729125223959,15899.114938744457,1.807495906844088,2.3582033161933813,3.895895994853837,,1.807495906844088,NH3,8244.052048180973,,1807495906.8440878,5947225032.068047,5.947225032068047,2.3017394957983193,2.235491550844006,2.713842763434842,1.9895949086327736,,1.9895949086327736,4.291334404431093,False,370.5,True,1690.0,C
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,United States of America,USA,North America,North America,,,38282571.63009336,25457910134.012085,3124465641.509578,61.70119670422168,0.3522672083620318,23958.44889908238,56206521117.24727,5278896950.717492,104.24638850570555,Solar,1085220450.0538719,4209686091.56345,4.20968609156345,16367.181697954204,1.731951715695981,2.2256924389811013,3.617293821894787,,1.731951715695981,NH3,8148.495205149355,,1731951715.695981,5941637807.259431,5.941637807259431,2.3017394957983193,2.273432017608124,2.754476833928245,2.034769033974659,,2.034769033974659,4.336508529772978,False,370.5,True,1683.0,C
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,United States of America,USA,North America,North America,,,42053968.26899054,27965888898.878708,3432271484.1420527,67.77967252122541,0.5088151421928646,16587.116244203826,38913374708.902176,3779371224.7812734,74.63411479405436,Solar,1085220450.0538719,4517491934.195925,4.517491934195925,16303.73101435354,1.6895299530243473,2.151495879596579,3.3469308865383347,,1.6895299530243473,NH3,8053.075408235865,,1689529953.0243473,6207021887.220272,6.207021887220272,2.3017394957983193,2.2682875831666482,2.7489685180746752,2.028635957550464,,2.028635957550464,4.3303754533487835,False,370.5,True,2102.0,C
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,44638365.693111606,29684513185.919216,3820942339.0314302,75.45505116905746,0.31675726823571854,26644.30072077648,62507529490.94162,6181219398.338844,122.06523538040534,Solar,1092484052.780232,4913426391.811663,4.9134263918116625,16695.196200589555,1.781552804794652,2.312281128282499,3.8065665271113636,,1.781552804794652,NH3,7672.970971791936,,1781552804.794652,6694979196.606315,6.694979196606314,2.3017394957983193,2.3000329833637263,2.7829526104295423,2.0665213008614294,,2.0665213008614294,4.368260796659749,False,118.1,True,2710.0,C
