,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,23.0,49.0,1103.3950006961825,136.44785,4142,20.129546733333328,54.675535,661.605655582899,916.0604,Ukraine,UKR,Europe,Non-EU Europe,,,263187706.86542293,132993508327.68474,35133506417.38454,120.98314882019469,0.428663563158122,112909.06006430641,286855593138.76953,65977838653.17657,227.19641409496063,Solar,6521445309.107248,41654951726.49178,6.942491954415297,3050.3732352301477,1.5879251727275092,2.305765842969453,3.033633978637881,2.3802976,1.5879251727275092,NH3,496.6131115748783,682.7991999999999,9527551036.365055,51182502762.85684,8.530417127142806,2.1879999999999997,0.2259583416504922,0.25467926601229396,0.4381507599587137,0.0019864524462995135,0.0019864524462995135,2.1899864524462993,True,573.9,True,710.0,E
1,24.0,49.0,1125.2949798107147,250.18251,3015,28.65831452538937,44.33846,628.694984640264,791.8849,Ukraine,UKR,Europe,Non-EU Europe,,,258065667.4117999,130405249153.86829,34449754094.15775,118.62862980081871,0.7859715354726551,61579.83822008767,156449101674.85266,37040009687.26725,127.54824272474949,Solar,6521445309.107248,40971199403.265,6.8285332338775,3050.3732352301477,1.6387820510833149,2.2926015745923993,3.020469710260827,2.6265955,1.6387820510833149,NH3,569.2657949403148,764.8985,9832692306.49989,50803891709.76489,8.467315284960815,2.1879999999999997,0.2259583416504922,0.25467926601229396,0.4381507599587137,0.002277063179761259,0.002277063179761259,2.190277063179761,True,573.9,True,709.0,E
2,24.0,50.0,1126.3899874687197,257.5604,4142,20.129546733333328,54.675535,583.1120988706488,778.2805,Ukraine,UKR,Europe,Non-EU Europe,,,257814791.70691273,130278477122.81674,34416264143.99026,118.51330628095819,0.8091498604956486,59815.866458102515,151967573214.90353,36045536922.72894,124.12374973391509,Solar,6521445309.107248,40937709453.0975,6.82295157551625,1792.3914324406885,1.6542023513548203,2.256268901889135,2.9189894193901984,1.1520834004646026,1.1520834004646026,H2 Gas,591.2947953281797,812.0131,6912500402.787616,47850209855.88512,7.9750349759808525,2.1879999999999997,0.1566998851949973,0.17876450114358297,0.3623766568111233,0.002365179181312719,0.002365179181312719,2.1903651791813123,True,573.9,True,706.0,E
3,25.0,48.0,1178.9500069618225,259.96005,3015,28.65831452538937,44.33846,495.3122129222127,640.2681,Ukraine,UKR,Europe,Non-EU Europe,,,246320877.2934881,124470394289.21722,32881916204.20821,113.22973899520734,0.8166885833068355,59263.7156797572,150564784643.8706,35734251377.90531,123.05182981372353,Solar,6521445309.107248,39403361513.31546,6.56722691888591,1754.8585775727283,1.6902521565830069,2.2204285776133825,2.880630608867446,1.1019503041380443,1.1019503041380443,H2 Gas,642.794517082732,860.8235999999999,6611701824.828266,46015063338.14372,7.669177223023954,2.1879999999999997,0.15463511377303416,0.17649952573151056,0.3601263180806234,0.002571178068330928,0.002571178068330928,2.1905711780683306,True,573.9,True,696.0,E
4,25.0,49.0,1141.3550341129303,217.1471,3015,28.65831452538937,44.33846,588.8092578731183,730.1492,Ukraine,UKR,Europe,Non-EU Europe,,,254434414.63917583,128570311452.53085,33965010167.058723,116.95940140171737,0.6821877341083282,70948.2120244547,180250295510.55408,42321609312.17979,145.73556925681746,Solar,6521445309.107248,40486455476.16597,6.747742579360995,1754.8585775727283,1.6897837065655483,2.257827395593745,2.918029426847808,1.1393491221184064,1.1393491221184064,H2 Gas,642.125302772077,929.7921,6836094732.710439,47322550208.87641,7.8870917014794015,2.1879999999999997,0.15463511377303416,0.17649952573151056,0.3601263180806234,0.0025685012110883082,0.0025685012110883082,2.190568501211088,True,573.9,True,702.0,E
5,25.0,50.0,1117.6300132274628,284.89603,3228,30.64456033199195,46.342805,584.177515795642,762.13,Ukraine,UKR,Europe,Non-EU Europe,,,259835541.78309014,131299598683.86934,34686018520.49544,119.44221253614131,0.8950272748848974,54076.56432171226,137386361418.44391,32809895749.157455,112.98173467340722,Wind,6521445309.107248,39331341058.2647,6.555223509710784,1499.124554177466,1.7025712489061722,2.250613161711257,2.89220688859301,1.035202815929311,1.035202815929311,H2 Gas,660.3932204015397,870.8988,6211216895.575866,45542557953.84057,7.590426325640094,0.5424,0.11985042006012561,0.11966687939916136,0.1605151166965527,0.002641572881606159,0.002641572881606159,0.5450415728816062,True,573.9,True,691.0,E
6,25.0,51.0,1130.0399839878082,232.21153,3697,21.13581203708845,55.68641,581.3885346614377,771.0596999999999,Ukraine,UKR,Europe,Non-EU Europe,,,256982057.37393895,129857681403.41893,34305100604.553097,118.1305117236677,0.7295140367268459,66345.53629311804,168556785032.42215,39726762978.77559,136.80014799853853,Solar,6521445309.107248,40826545913.66035,6.804424318943391,1754.8585775727283,1.727578719595295,2.254859106309073,2.9150611375631357,1.1363808328337341,1.1363808328337341,H2 Gas,696.1181785288579,1004.0513,6818284997.002405,47644830910.66275,7.940805151777125,2.1879999999999997,0.15463511377303416,0.17649952573151056,0.3601263180806234,0.002784472714115432,0.002784472714115432,2.1907844727141152,True,573.9,True,704.0,E
7,26.0,49.0,1157.779974937439,194.8725,3228,30.64456033199195,46.342805,456.9523760559475,565.9843000000001,Ukraine,UKR,Europe,Non-EU Europe,,,250824859.89247817,126746338156.12749,33483162757.21048,115.30014723557328,0.6122100143866771,79057.83777236637,200853527020.28165,46893565683.9874,161.47922067488773,Solar,6521445309.107248,40004608066.317726,6.667434677719621,1034.295424098316,1.7408784516261115,2.1870887900748532,2.7856121809690544,0.7983811080017731,0.7983811080017731,H2 Gas,715.1177957157387,,4790286648.010638,44794894714.32836,7.465815785721394,2.1879999999999997,0.11501326630930894,0.133016080861504,0.3170403147519857,0.0028604711828629547,0.0028604711828629547,2.1908604711828628,True,573.9,True,686.0,E
8,26.0,50.0,1132.960033416748,238.39035,2181,30.744834388315542,46.49840286467224,524.9254048614619,706.8607,Ukraine,UKR,Europe,Non-EU Europe,,,256319721.2916859,129522991001.95619,34216683902.749462,117.82604649707115,0.7489253722466996,64625.93175980264,164187975495.9034,38757303086.609146,133.4617874883235,Solar,6521445309.107248,40738129211.85671,6.789688201976118,1320.6870372117187,1.7514390396371453,2.222598454578123,2.8493758716492685,0.94012696476934,0.94012696476934,H2 Gas,730.2043500172156,,5640761788.61604,46378891000.472755,7.729815166745459,2.1879999999999997,0.13075707223250743,0.15029880460334616,0.3341386119465965,0.0029208174000688626,0.0029208174000688626,2.1909208174000687,True,573.9,True,698.0,E
9,26.0,51.0,1109.2350125312803,196.82568,4075,24.09501611899418,57.0163,681.1198806802829,830.5704000000001,Ukraine,UKR,Europe,Non-EU Europe,,,261802049.8084582,132293310755.61887,34948532006.22004,120.34618459442163,0.6183461103258155,78273.31520610252,198860377082.19702,46451276106.49605,159.9561849397247,Solar,6521445309.107248,41469977315.327286,6.911662885887881,2471.2033132929346,1.7732391093488133,2.3064041130918596,3.0079866445058836,,1.7732391093488133,NH3,761.3473067481699,,10639434656.09288,52109411971.420166,8.684901995236695,2.1879999999999997,0.19405901189891053,0.21972840396850352,0.4031800309201715,0.0030453892269926798,0.0030453892269926798,2.1910453892269923,True,573.9,True,711.0,E
