,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Total Yearly Cost,Total Cost per kg H2,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,2827.3686488189364,1.7884368854464368,2.1463135231038883,2.9052378366799774,,1.7884368854464368,NH3,9337.559436742484,,3326492606.930372,87621142.24593031,48958426042.1342,6008699034.044735,64.45255277666301,1.4838692748841569,10471.127205414381,22829417068.13288,2725401229.2048693,29.23412631713471,Wind,1537020680.0497222,4262421909.2545915,2.2916246823949415,7588914516.184963,4.080061567841378,1219.6308206704846,True,235.0,2031
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,2827.3686488189364,1.7690452430817494,2.1305198132396996,2.8894441268157887,,1.7690452430817494,NH3,9027.95638212686,,3290424152.132054,86376606.2974815,48263039978.5984,5923353856.39013,63.53709428292742,1.1603646196107644,13390.432344214389,29194160161.727215,3277301721.021322,35.154109224370025,Wind,1537020680.0497222,4814322401.071044,2.588345376919916,8104746553.203098,4.357390620001666,1219.6308206704846,True,373.0,2031
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,1569.386846029477,1.7496153934145078,2.1072736795084905,2.7948754840037466,,1.7496153934145078,NH3,8482.074701911366,,3254284631.750984,101556904.83127725,56745051328.991135,7304130871.053053,78.34805467653842,2.5132741228718345,6182.28779428306,13478780624.299553,1991342323.8356352,21.360213832680955,Wind,1547459168.7755558,3538801492.611191,1.9025814476404252,6793086124.362175,3.6521968410549333,1004.1334917261141,True,98.0,2031
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,8350.733385208914,,3253231237.079135,93319556.95007789,52142422594.78559,6711687973.59935,71.99319201842485,2.5132741228718345,6182.28779428306,13478780624.299553,1991342323.8356352,21.360213832680955,Wind,1547459168.7755558,3538801492.611191,1.9025814476404252,6792032729.690326,3.6516304998335087,1004.1334917261141,True,97.0,2031
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,8259.307115676635,,3253231237.079135,80092704.61335656,44751901822.07017,5760392139.603506,61.7890788485955,0.24317353421849724,63895.867547645765,139307390747.8766,13618740152.516867,146.0819660725943,Solar,1547459168.7755558,7307851308.379062,3.928952316332829,10561082545.458197,5.678001368525912,1004.1334917261141,True,3316.0,2031
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1276.1199677662548,1.6008788898841217,2.016631864316788,2.6800046992924615,,1.6008788898841217,NH3,8672.988744787363,,2977634735.1844664,79767530.93809326,44570210612.35569,5737005142.098114,61.53821727565543,0.2331130235683475,66653.43572690785,145319510820.83624,14174299908.072042,152.04120022005773,Solar,1547459168.7755558,7284464310.87367,3.9163786617600373,10262099046.058136,5.517257551644159,1004.1334917261141,True,3118.0,2031
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,8288.835341844135,,3253231237.079135,80142963.1001113,44779983816.25218,5764006808.298339,61.827851738284906,0.7528427183742403,20638.81811472091,44997274628.7207,4903860139.858467,52.60145377273838,Wind,1547459168.7755558,6451319308.634023,3.4684512412010875,9704550545.713158,5.2175002933941705,1004.1334917261141,True,2628.0,2031
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,811.2908376871048,1.7278513715596173,2.0848136221079963,2.696223046769254,,1.7278513715596173,NH3,8927.649686480703,,3213803551.1008883,72151307.64315242,40314636040.420006,4947841142.308443,53.073217771154106,0.8094902834755917,19194.528026705477,41848396753.41178,4374577651.222062,46.92408378976589,Wind,1537020680.0497222,5911598331.271784,3.1782786727267656,9125401882.372673,4.906130044286383,1219.6308206704846,True,1909.0,2031
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1097.6824508005077,1.7412614302877296,2.095104927388756,2.7410891305437195,,1.7412614302877296,NH3,8391.755511965062,,3238746260.335177,67749503.34127979,37855122219.42564,4872649867.3397,52.266675524519854,0.7517865463400301,20667.81323656506,45060490528.6459,4909701708.137783,52.66411359072691,Solar,1547459168.7755558,6420109036.115255,3.451671524793148,9658855296.450432,5.192932955080877,1004.1334917261141,True,2581.0,2031
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2248.198726881724,1.7776060175983035,2.133071050198496,2.8636923533717105,,1.7776060175983035,NH3,8240.766780394237,,3306347192.732845,75166458.55239461,41999355492.96587,5406088845.385799,57.988630258954544,0.4767952758852406,32587.95696888947,71049090174.02237,7311220621.764371,78.42410317377643,Solar,1547459168.7755558,6953548014.161355,3.7384666742802986,10259895206.8942,5.516072691878602,1004.1334917261141,True,3114.0,2031
