corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.3518781216461657,4.990754980876332,4.604391483036489,5.2871698998512935,2.24233113398264,3.3981500345835713,0.5999694628032692,1.5278432563692999,MAR,H2 Gas,454,#E63946,Ambitious,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.5508992098722816,5.828217713679501,5.348272083029262,6.503392799887429,2.2495661563283305,4.011554926532414,0.21629999999999996,1.7723096617090708,MAR,NH3,1355,#F4A261,Ambitious,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,3.7768766935043,6.213598679706439,5.58779444936473,7.463326951055448,1.8337952044676937,3.9841871302418803,1.572397422261285,2.190557975251486,JPN,NH3,5140,#2196F3,Ambitious,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3074715978974267,5.370726652091333,4.7423120121402675,5.88166009835237,2.0879931235742166,3.5297648106469124,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.074872662372522,5.430158145773753,5.163452594482219,6.8856754128836934,1.8687278625781116,3.7672027479963184,0.6493595721292902,2.089812128631583,TUR,NH3,672,#9C27B0,Ambitious,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.1917865701934156,4.118833993413114,3.7256595690318086,4.651487573015208,2.1917865701934156,4.118833993413114,0.0,0.0,IRL,Domestic,315,#009688,Ambitious,2025
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,17,3.231933881319524,4.467101010418569,4.138142879785065,4.849177283330382,2.1330486854825064,3.1347466107582878,0.5999694628032692,1.3459916261432223,MAR,H2 Gas,267,#E63946,Ambitious,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,3.4077654167030595,5.540293074009627,4.9458393099848665,5.8183069365566356,2.145042452277758,3.7082497529602945,0.21629999999999996,1.772193854694735,MAR,NH3,902,#F4A261,Ambitious,2027
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,90,3.6821915597883503,5.686589868768319,5.222635459876404,6.450035699673583,1.7447712418307337,3.5628418474989187,1.572397422261285,2.119304918294122,JPN,NH3,3223,#2196F3,Ambitious,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.1960515977744657,5.137295557885055,4.470086733789856,5.46459243246211,1.988384720401811,3.2669720205083905,0.8174036413688548,1.7935044131788398,GBR,NH3,190,#4CAF50,Ambitious,2027
