,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-17.0,15.0,1737.034935951233,131.02809,3864,-17.395492323651652,14.676105,55.64467169622003,73.1189,Senegal,SEN,Africa,Sub-Saharan Africa,,,335571834.4725134,200894137028.84326,34654232572.382576,59.451419750184556,0.41163688495790224,236008.9767221308,542995370596.8542,77358757782.69025,132.71360058790572,Solar,11586209602.210655,46240442174.59323,3.9862450150511406,3070.0786014166206,1.7010564234107886,2.167020537851587,2.9300269957001164,,1.7010564234107886,NH3,4111.386903647267,,19732254511.565147,65972696686.15838,5.68730143846193,2.28125,0.6756880802393588,0.8716477740224873,0.7177347910103908,,0.6756880802393588,2.956938080239359,True,1.5,False,,A
1,-16.0,13.0,1656.7350125312803,90.02382,6886,-16.559203892256697,13.37916,73.71693023377476,146.8141,Senegal,SEN,Africa,Sub-Saharan Africa,,,351836591.60399044,210631230587.50858,36333880917.2847,62.3329574837617,0.2828181715600899,343506.92342043755,790320231780.2993,110470308471.40831,189.51845680461196,Solar,11586209602.210655,47920090519.49535,4.131042286163392,3070.0786014166206,1.7600125834107887,2.167020537851587,2.9300269957001164,,1.7600125834107887,NH3,4225.046147113599,,20416145967.565147,68336236487.0605,5.891054869574181,2.28125,0.6756880802393588,0.8716477740224873,0.7177347910103908,,0.6756880802393588,2.956938080239359,True,1.5,False,,A
2,-16.0,14.0,1681.5549540519714,127.459175,3066,-16.574810909776545,13.44084,87.70754382385651,127.0862,Senegal,SEN,Africa,Sub-Saharan Africa,,,346643443.674208,207522289774.71152,35797588720.93765,61.41291597347341,0.4004248078126158,242617.3356508487,558199488488.3568,79394266537.5838,136.20563825284577,Solar,11586209602.210655,47383798323.14831,4.084810200271406,1812.096798627161,1.7318399756675835,2.1490740188429576,2.8474198042230148,,1.7318399756675835,NH3,4135.214799500543,,20089343717.74397,67473142040.89227,5.816650175938989,2.28125,0.5816337512320789,0.7688615017606232,0.6145734186879378,,0.5816337512320789,2.862883751232079,True,1.5,False,,A
3,-16.0,15.0,1703.454933166504,159.9279,3864,-17.395492323651652,14.676105,154.4141606332186,214.0003,Senegal,SEN,Africa,Sub-Saharan Africa,,,342186921.7969059,204854339056.80316,35337367302.64521,60.62337845710278,0.502428315744043,193360.91728056996,444873260313.85376,64222289363.08511,110.17719911320143,Solar,11586209602.210655,46923576904.855865,4.045135940073782,1774.5639437592008,1.7735807064519533,2.148361565053392,2.8442141451786656,,1.7735807064519533,NH3,4046.2548120025813,,20573536194.84266,67497113099.698524,5.8187166465257345,2.28125,0.5788297515648181,0.7657947942528764,0.6115097340472443,,0.5788297515648181,2.860079751564818,True,1.5,False,,A
4,-16.0,17.0,1756.014952659607,269.54532,6897,-16.113889378512603,18.005648335,111.95514811255713,122.6027,Mauritania,MRT,Africa,Sub-Saharan Africa,,,331944781.6302232,198722757980.13596,34279669752.03557,58.808834709273576,0.8468015971215099,114725.81101669752,263954300108.59753,40001079684.761505,68.62425747943301,Solar,11586209602.210655,45865879354.24622,3.953955116745364,1774.5639437592008,1.7277628664519533,2.148361565053392,2.8442141451786656,1.6047777903821139,1.6047777903821139,H2 Gas,3871.1944759552844,,18615422368.43252,64481301722.67874,5.558732907127478,2.28125,0.5788297515648181,0.7657947942528764,0.6115097340472443,0.6193911161528455,0.5788297515648181,2.860079751564818,True,63.1,True,238.0,A
5,-16.0,18.0,1757.839994430542,396.4073,3132,-16.03128134356399,18.014364999999998,3.674499776085456,4.7238,Mauritania,MRT,Africa,Sub-Saharan Africa,,,331600146.6839036,198516438101.5928,34244079579.215775,58.747777627750516,1.2453502615093655,78010.18155507039,179481170725.53394,28691920176.824535,49.22271431947939,Wind,11586209602.210655,40278129779.03519,3.472252567158206,1518.829920363939,1.6298171470609706,2.066077494660672,2.7652244763773326,1.5703917779785432,1.5703917779785432,H2 Gas,3785.229444946358,,18216544624.5511,58494674403.58629,5.042644345136749,0.57275,0.5200916517496192,0.6656994626216552,0.23806905558789887,0.6056367111914173,0.23806905558789887,0.8108190555878989,True,63.1,True,228.0,A
6,-16.0,19.0,1778.2800793647766,427.02444,3132,-16.03128134356399,18.014364999999998,109.14625453168406,122.9917,Mauritania,MRT,Africa,Sub-Saharan Africa,,,327788635.07722527,196234630582.78635,33850467851.11055,58.07251304016221,1.3415368436072956,72416.94513493245,166612586127.73532,26969089770.034092,46.26709516217892,Wind,11586209602.210655,38555299372.24475,3.323732704503858,1774.5639437592008,1.7280740664519534,2.148361565053392,2.8442141451786656,1.5364628916196343,1.5364628916196343,H2 Gas,3700.407229049086,,17822969542.787758,56378268915.03251,4.860195596123493,0.57275,0.5391875429844194,0.6865947942528765,0.2586005597784549,0.5920651566478538,0.2586005597784549,0.831350559778455,True,63.1,True,227.0,A
7,-15.0,13.0,1653.815050125122,67.05772,3276,-15.580704635140645,11.84803,142.2209160692044,231.341,Senegal,SEN,Africa,Sub-Saharan Africa,,,352457791.4295191,211003119375.6967,36398031722.01964,62.44301204669693,0.21066804051848134,461152.0559117617,1060991132536.984,146707398456.9493,251.6853636248916,Solar,11586209602.210655,47984241324.23029,4.136572527950888,1054.0007902847888,1.7614024437093923,2.130628034662596,2.7656418814511845,,1.7614024437093923,NH3,4162.922531658306,,20432268347.02895,68416509671.25925,5.89797497166028,2.28125,0.5250225139576576,0.7069195384179685,0.5528510530929289,,0.5250225139576576,2.8062725139576576,True,1.5,False,,A
8,-15.0,14.0,1673.8899874687197,151.15063,3066,-16.574810909776545,13.44084,181.22184316724255,242.614,Senegal,SEN,Africa,Sub-Saharan Africa,,,348230770.4590967,208472562151.21848,35961510677.195915,61.6941339461244,0.474853708793469,204589.32551425858,470706911960.2608,67680867129.47566,116.11059723704865,Solar,11586209602.210655,47547720279.40657,4.098941403397118,1340.3924033981914,1.76701591768673,2.138810202555208,2.8016348950367327,,1.76701591768673,NH3,4072.1886920892584,,20497384645.16607,68045104924.57264,5.865957321083848,2.28125,0.5464029078000228,0.7303198183375306,0.576129226366199,,0.5464029078000228,2.8276529078000228,True,1.5,False,,A
9,-15.0,15.0,1691.77508354187,138.37459,3066,-16.574810909776545,13.44084,242.17007414402153,323.4288,Senegal,SEN,Africa,Sub-Saharan Africa,,,344549346.8195849,206268633367.20758,35581333028.49173,61.04191632954491,0.43471659538749974,223478.93094212783,514166988954.74915,73499249217.92747,126.09238157132866,Solar,11586209602.210655,47167542630.702385,4.066167468163998,2490.9086794794075,1.7815379489434056,2.159904285604903,2.8967875263524534,1.6492239603664638,1.6492239603664638,H2 Gas,3982.309900916159,,19130997940.25098,66298540570.95337,5.715391428530462,2.28125,0.6323681706774157,0.8243253746442792,0.6701244747717722,0.6371695841465855,0.6323681706774157,2.913618170677416,True,1.5,False,,A
10,-15.0,17.0,1716.595025062561,240.05795,3132,-16.03128134356399,18.014364999999998,156.8341272760368,274.2898,Mauritania,MRT,Africa,Sub-Saharan Africa,,,339567569.2225406,203286231960.3642,35066868875.85141,60.159322140764125,0.754164292155826,128818.08514467134,296376963512.9682,44341786306.9752,76.07100069819042,Solar,11586209602.210655,46653078478.062065,4.021817110177764,1187.6585287345797,1.7641896248754867,2.1346920888478795,2.783471779621329,1.5784459434243108,1.5784459434243108,H2 Gas,3805.3648585607766,,18309972943.722004,64963051421.78407,5.600263053602075,2.28125,0.5349997370819239,0.7178403487697097,0.5637089742666607,0.6088583773697243,0.5349997370819239,2.816249737081924,True,63.1,True,242.0,A
11,-14.0,13.0,1650.8949136734009,114.62069,3276,-15.580704635140645,11.84803,213.958215620092,322.3593,Senegal,SEN,Africa,Sub-Saharan Africa,,,353081225.9291484,211376345978.56073,36462413299.74579,62.55346251457504,0.3600915176533931,269792.52561431326,620722543967.8295,87764776929.52762,150.56575215221756,Solar,11586209602.210655,48048622901.95644,4.1421226639617625,1187.6585287345797,1.7641896248754867,2.1346920888478795,2.783471779621329,,1.7641896248754867,NH3,4102.085045949495,,20464599648.555645,68513222550.512085,5.906312288837249,2.28125,0.5349997370819239,0.7178403487697097,0.5637089742666607,,0.5349997370819239,2.816249737081924,True,1.5,False,,A
12,-14.0,14.0,1657.099986076355,123.31574,6886,-16.559203892256697,13.37916,285.23894648096734,403.2794,Senegal,SEN,Africa,Sub-Saharan Africa,,,351759100.17365813,210584839405.57816,36325878439.80227,62.319228752448566,0.387407822855989,250769.32954994438,576955109608.4568,81905246212.02888,140.51337487052476,Solar,11586209602.210655,47912088042.012924,4.130352417414907,5658.631514980453,1.8009817919188333,2.187835280180716,3.0329151809960844,,1.8009817919188333,NH3,4010.432125352035,,20891388786.25847,68803476828.2714,5.931334209333741,2.28125,0.8696721411556964,1.083151393508741,0.9329618198706575,,0.8696721411556964,3.1509221411556965,True,1.5,False,,A
13,-14.0,16.0,1686.6649317741394,118.13817,3132,-16.03128134356399,18.014364999999998,310.6024595808903,435.6253,Senegal,SEN,Africa,Sub-Saharan Africa,,,345593240.8500777,206893573153.15552,35689135122.700516,61.22685730434125,0.3711420069805421,261759.6450220556,602240971636.4148,85290486572.58308,146.32095826485346,Solar,11586209602.210655,47275344724.91117,4.075460752147515,1100.9593273016826,1.7624198107278817,2.1321117945397976,2.7721413253539238,1.5881784826566812,1.5881784826566812,H2 Gas,3829.6962066417027,,18422870398.8175,65698215123.72867,5.6636392348041955,2.28125,0.5285276713751235,0.7107563927827412,0.5566646361721326,0.6127513930626725,0.5285276713751235,2.8097776713751235,True,1.5,False,,A
14,-14.0,17.0,1706.375069618225,234.53087,3132,-16.03128134356399,18.014364999999998,243.17321112444236,269.6883,Mauritania,MRT,Africa,Sub-Saharan Africa,,,341601333.9496426,204503769810.08597,35276894118.17035,60.51963307286044,0.7368004582320228,131853.88108079444,303361541651.84296,45276873107.29943,77.67519833127369,Solar,11586209602.210655,46863103720.381004,4.039922734515604,1067.291941326723,1.7616949028284885,2.1310546016284055,2.7675092628542566,1.5525960361963753,1.5525960361963753,H2 Gas,3740.740090490938,,18010114019.877953,64873217740.25896,5.592518770711979,2.28125,0.5260145941613561,0.7080055222268284,0.553930320975253,0.5985184144785501,0.5260145941613561,2.807264594161356,True,63.1,True,241.0,A
15,-13.0,13.0,1632.280044555664,74.35491,3276,-15.580704635140645,11.84803,308.1757512736251,513.3507999999999,Senegal,SEN,Africa,Sub-Saharan Africa,,,357107839.39570606,213786926827.1721,36878238423.35463,63.26683551784977,0.23359283901433026,415894.59852423007,956865475166.979,132767182477.42534,227.77008488149826,Solar,11586209602.210655,48464448025.565285,4.177969657376318,1310.2637572556555,1.7664846396181826,2.1380363388601804,2.7982137499228292,,1.7664846396181826,NH3,4042.5965007002824,,20491221819.57092,68955669845.1362,5.9444542969945005,2.28125,0.5441533257108142,0.7278580885903901,0.5736781089590928,,0.5441533257108142,2.8254033257108144,True,1.5,False,,A
16,-13.0,14.0,1654.1800236701963,156.99095,3276,-15.580704635140645,11.84803,367.5544865962892,523.3596,Senegal,SEN,Africa,Sub-Saharan Africa,,,352380026.1513835,210956564251.46698,36390000964.49554,62.42923479927181,0.4932016152000826,196978.26812790963,453195845290.1135,65336506886.483185,112.08870627291677,Solar,11586209602.210655,47976210566.70619,4.135880221267775,1310.2637572556555,1.7664846396181826,2.1380363388601804,2.7982137499228292,1.6363038387757394,1.6363038387757394,H2 Gas,3950.0095969393483,,18981124529.798576,66957335096.50477,5.772184060043514,2.28125,0.5441533257108142,0.7278580885903901,0.5736781089590928,0.6320015355102957,0.5441533257108142,2.8254033257108144,True,1.5,False,,A
