,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-17.0,15.0,1737.034935951233,131.02809,3864,-17.395492323651652,14.676105,55.64467169622003,73.1189,Senegal,SEN,Africa,Sub-Saharan Africa,,,167181438.89315128,73919829146.54033,12751168296.102179,43.90898173588904,0.41163688495790224,117579.3563906447,250925555834.46475,35916807295.89189,123.68046589494453,Solar,4067401046.7361264,16818569342.838305,2.8030948904730506,3070.0786014166206,1.7010564234107886,2.167020537851587,2.9300269957001164,,1.7010564234107886,NH3,4111.386903647267,,10206338540.464731,27024907883.303036,4.504151313883839,2.1879999999999997,0.22704405800824684,0.2558684153603854,0.4393431371154045,,0.22704405800824684,2.4150440580082466,True,113.6,True,425.0,A
1,-16.0,13.0,1656.7350125312803,90.02382,6886,-16.559203892256697,13.37916,73.71693023377476,146.8141,Senegal,SEN,Africa,Sub-Saharan Africa,,,175284519.13158143,77502633019.69208,13369201856.054241,46.037196474015985,0.2828181715600899,171134.6895887718,365217742517.239,51218105817.04686,176.37088779974815,Solar,4067401046.7361264,17436602902.790367,2.9061004837983946,3070.0786014166206,1.7600125834107887,2.167020537851587,2.9300269957001164,,1.7600125834107887,NH3,4225.046147113599,,10560075500.464733,27996678403.2551,4.666113067209183,2.1879999999999997,0.22704405800824684,0.2558684153603854,0.4393431371154045,,0.22704405800824684,2.4150440580082466,True,113.6,True,446.0,A
2,-16.0,14.0,1681.5549540519714,127.459175,3066,-16.574810909776545,13.44084,87.70754382385651,127.0862,Senegal,SEN,Africa,Sub-Saharan Africa,,,172697299.78210673,76358685380.86345,13171870922.892647,45.357682241365865,0.4004248078126158,120871.631966043,257951585777.78552,36857443613.2258,126.91957167088773,Solar,4067401046.7361264,17239271969.628773,2.8732119949381287,1812.096798627161,1.7318399756675835,2.1490740188429576,2.8474198042230148,,1.7318399756675835,NH3,4135.214799500543,,10391039854.0055,27630311823.634274,4.605051970605713,2.1879999999999997,0.15778396142470924,0.17995365049167436,0.3635583627581791,,0.15778396142470924,2.345783961424709,True,113.6,True,441.0,A
3,-16.0,15.0,1703.454933166504,159.9279,3864,-17.395492323651652,14.676105,154.4141606332186,214.0003,Senegal,SEN,Africa,Sub-Saharan Africa,,,170477066.54627118,75377001872.54453,13002530547.34514,44.77455422639511,0.502428315744043,96332.15024580121,205581992342.66367,29846266332.958668,102.77639921817723,Solar,4067401046.7361264,17069931594.081266,2.8449885990135444,1774.5639437592008,1.7735807064519533,2.148361565053392,2.8442141451786656,,1.7735807064519533,NH3,4046.2548120025813,,10641484238.71172,27711415832.792984,4.618569305465497,2.1879999999999997,0.15571914112537283,0.17768867507960195,0.36130770784762867,,0.15571914112537283,2.3437191411253724,True,113.6,True,442.0,A
4,-16.0,17.0,1756.014952659607,269.54532,6897,-16.113889378512603,18.005648335,111.95514811255713,122.6027,Mauritania,MRT,Africa,Sub-Saharan Africa,,,165374446.02061558,73120861239.03104,12613346356.178059,43.434388278850065,0.8468015971215099,57156.24552967742,121976876887.26436,18653315470.71483,64.23317999557447,Solar,4067401046.7361264,16680747402.914185,2.780124567152364,1774.5639437592008,1.7277628664519533,2.148361565053392,2.8442141451786656,1.6047777903821139,1.6047777903821139,H2 Gas,3871.1944759552844,,9628666742.292683,26309414145.206867,4.384902357534478,2.1879999999999997,0.15571914112537283,0.17768867507960195,0.36130770784762867,0.01548477790382114,0.01548477790382114,2.203484777903821,True,4746.9,True,410.0,A
5,-16.0,18.0,1757.839994430542,396.4073,3132,-16.03128134356399,18.014364999999998,3.674499776085456,4.7238,Mauritania,MRT,Africa,Sub-Saharan Africa,,,165202749.35152787,73044944985.83916,12600250804.79441,43.38929340493943,1.2453502615093655,38864.56806243343,82940693355.49136,13427198842.07677,46.23691061321202,Solar,4067401046.7361264,16667651851.530537,2.7779419752550893,1518.829920363939,1.6298171470609706,2.066077494660672,2.7652244763773326,1.5703917779785432,1.5703917779785432,H2 Gas,3785.229444946358,,9422350667.87126,26090002519.401794,4.348333753233632,2.1879999999999997,0.1416527503588306,0.16225602874725278,0.3459886527351445,0.015140917779785433,0.015140917779785433,2.203140917779785,True,4746.9,True,402.0,A
6,-16.0,19.0,1778.2800793647766,427.02444,3132,-16.03128134356399,18.014364999999998,109.14625453168406,122.9917,Mauritania,MRT,Africa,Sub-Saharan Africa,,,163303859.3694051,72205344465.73416,12455419740.424252,42.89056384443613,1.3415368436072956,36078.02516243676,76993945154.93837,12631055447.78369,43.49536999925513,Solar,4067401046.7361264,16522820787.160378,2.7538034645267295,1774.5639437592008,1.7280740664519534,2.148361565053392,2.8442141451786656,1.5364628916196343,1.5364628916196343,H2 Gas,3700.407229049086,,9218777349.717806,25741598136.87818,4.290266356146364,2.1879999999999997,0.15571914112537283,0.17768867507960195,0.36130770784762867,0.014801628916196343,0.014801628916196343,2.202801628916196,True,4746.9,True,386.0,A
7,-15.0,13.0,1653.815050125122,67.05772,3276,-15.580704635140645,11.84803,142.2209160692044,231.341,Senegal,SEN,Africa,Sub-Saharan Africa,,,175594000.05340943,77639471038.41652,13392806410.153,46.118479373805094,0.21066804051848134,229745.3371706564,490298452037.7113,67963758614.14285,234.03498145365995,Solar,4067401046.7361264,17460207456.889126,2.910034576148188,1054.0007902847888,1.7614024437093923,2.130628034662596,2.7656418814511845,,1.7614024437093923,NH3,4162.922531658306,,10568414662.256353,28028622119.145477,4.67143701985758,2.1879999999999997,0.11609635594472656,0.13420523020959538,0.3182156589524269,,0.11609635594472656,2.3040963559447265,True,113.6,True,450.0,A
8,-15.0,14.0,1673.8899874687197,151.15063,3066,-16.574810909776545,13.44084,181.22184316724255,242.614,Senegal,SEN,Africa,Sub-Saharan Africa,,,173488103.86227772,76708342034.62624,13232186685.11042,45.56538114707445,0.474853708793469,101926.12820267749,217520074598.28833,31444522221.354816,108.28003519750281,Solar,4067401046.7361264,17299587731.846546,2.8832646219744245,1340.3924033981914,1.76701591768673,2.138810202555208,2.8016348950367327,,1.76701591768673,NH3,4072.1886920892584,,10602095506.12038,27901683237.966927,4.650280539661154,2.1879999999999997,0.13184053442269603,0.15148795395143755,0.3353163534202069,,0.13184053442269603,2.3198405344226956,True,113.6,True,445.0,A
9,-15.0,15.0,1691.77508354187,138.37459,3066,-16.574810909776545,13.44084,242.17007414402153,323.4288,Senegal,SEN,Africa,Sub-Saharan Africa,,,171654023.53132176,75897397317.30063,13092298745.854574,45.08367336726782,0.43471659538749974,111336.90434996386,237603568062.4475,34133275825.270947,117.53882859941785,Solar,4067401046.7361264,17159699792.5907,2.8599499654317833,2490.9086794794075,1.7815379489434056,2.159904285604903,2.8967875263524534,1.6492239603664638,1.6492239603664638,H2 Gas,3982.309900916159,,9895343762.198782,27055043554.789482,4.5091739257982475,2.1879999999999997,0.19514397268609157,0.22091755331659493,0.4043674772148959,0.015929239603664637,0.015929239603664637,2.2039292396036645,True,113.6,True,426.0,A
