,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,547851225.4781231,312359773055.4633,37115662476.732635,63.6741507578189,1.4838692748841569,65470.72686546753,143458230119.68253,16568288344.062103,28.423894911755195,Wind,8435884036.103695,25004172380.1658,2.155532101738431,18440.355817949752,2.062536658326554,2.8029060017125063,4.877445386293381,,2.062536658326554,NH3,7945.080767467395,,23925425236.588024,48929597616.75382,4.218068760064985,0.57275,1.796413473844796,2.0483113288177304,1.6824144248048056,,1.6824144248048056,2.2551644248048057,True,529.2,True,124.0,C
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,540069763.9834125,307923138740.36005,36588486329.3008,62.76974837759615,1.1603646196107644,83723.68336479289,183453766433.57547,19887375668.559296,34.117988794920734,Wind,8435884036.103695,28323259704.66299,2.4416603193674993,18440.355817949752,,,,,,NH3,7616.860481150902,,,,,0.57275,1.796413473844796,2.0483113288177304,1.6824144248048056,,1.6824144248048056,2.2551644248048057,True,529.2,False,,C
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,634984586.3846239,362039239984.7587,43018747590.84663,73.8012482258477,2.5132741228718345,38654.75680344408,84699578914.46185,11692116841.092278,20.05852949235251,Wind,8435884036.103695,20128000877.195972,1.735172489413446,17392.64845231022,3.149317849899408,4.705424329365823,8.942593065560866,,3.149317849899408,NH3,7376.474667141755,,36532087058.83314,56660087936.02911,4.884490339312854,0.57275,1.716628584141152,1.9627060090137456,1.5876281410746136,,1.5876281410746136,2.1603781410746135,True,168.8,True,1056.0,C
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,583480565.6000249,332673997204.3287,39529468453.12544,67.81518005339757,2.5132741228718345,38654.75680344408,84699578914.46185,11692116841.092278,20.05852949235251,Wind,8435884036.103695,20128000877.195972,1.735172489413446,17209.980990985132,1.8335553073439699,2.402955611352125,4.006679653819601,,1.8335553073439699,NH3,7368.571095439313,,21269241565.190052,41397242442.386024,3.5687277967574156,0.57275,1.7027284890288101,1.9477807474785545,1.571178883982275,,1.571178883982275,2.1439288839822748,True,168.8,True,3.0,C
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,500779666.2947832,285521717649.0106,33926672434.08436,58.2032465844645,0.24317353421849724,399508.93633313064,875396496530.6877,77309242116.82962,132.6286534857259,Solar,8435884036.103695,42362556470.18805,3.651944523292073,17209.980990985132,2.0056893073439697,2.704190111352125,4.652182153819601,,2.0056893073439697,NH3,7303.738143656253,,23265995965.19005,65628552435.3781,5.657633830636042,2.28125,1.7427416646236358,2.0269807474785546,1.9446369280462925,,1.7427416646236358,4.023991664623636,False,168.8,False,,C
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,498746517.7655593,284362509120.0488,33788931290.017586,57.966943369390265,0.2331130235683475,416750.6324309509,913176177998.6715,80444443527.80229,138.00728002710977,Solar,8435884036.103695,42224815326.12128,3.6400702867345927,16402.583402812423,1.6660616794175487,2.110361746929857,3.1713266446995294,,1.6660616794175487,NH3,7842.92154122762,,19326315481.243565,61551130807.36484,5.306131966152141,2.28125,1.681319963754196,1.9610104861143032,1.871067260168742,,1.681319963754196,3.962569963754196,False,168.8,True,1604.0,C
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,501093907.5024814,285700883648.3851,33947961554.30314,58.23976935032276,0.7528427183742403,129044.21817321269,282759273229.8141,28128386522.20481,48.25593844948501,Wind,8435884036.103695,36564270558.3085,3.1520922895093535,17209.980990985132,2.0528619473439695,2.786742231352125,4.829079553819601,,2.0528619473439695,NH3,7365.370173231877,,23813198589.19005,60377469147.49855,5.2049542368533235,0.57275,1.7027284890288101,1.9477807474785545,1.571178883982275,,1.571178883982275,2.1439288839822748,True,168.8,True,1501.0,C
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,451126078.69462067,257211507444.33224,30562755895.396065,52.43224548875633,0.8094902834755917,120013.79384429549,262971976624.44394,26486309145.53173,45.43885597106147,Wind,8435884036.103695,34922193181.63542,3.010533894968571,16217.262226021843,1.8033131331489087,2.3506731839388317,3.8834006292617778,,1.8033131331489087,NH3,8188.51978258104,,20918432344.52734,55840625526.162766,4.81384702811748,0.57275,1.6272412724198166,1.8666683967047053,1.4821791646829006,,1.4821791646829006,2.0549291646829007,True,529.2,True,909.0,C
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,423603795.6099374,241519557333.6116,28698184416.763893,49.2334609997665,0.7517865463400301,129225.51018365714,283156516886.61115,28161352360.583984,48.31249332747295,Wind,8435884036.103695,36597236396.68768,3.1549341721282484,16698.066739806785,2.4255844891462712,3.4393347205500877,6.221713889114775,,2.4255844891462712,NH3,7520.210531667562,,28136780074.096745,64734016470.784424,5.580518661274519,0.57275,1.6637907314493896,1.9059536260689516,1.5252014113786716,,1.5252014113786716,2.0979514113786717,True,168.8,False,,C
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,469978310.9103738,267960190120.65985,31839951336.991043,54.623351067063034,0.4767952758852406,203756.21343904195,446466797534.07214,41713891779.05859,71.56268961924617,Solar,8435884036.103695,40275835373.09474,3.4720547735426504,17092.144542076046,2.735271356854219,3.9810337184689066,7.386949246393404,,2.735271356854219,NH3,7330.930476067241,,31729147739.50894,72004983112.60368,6.207326130396869,2.28125,1.7337736657610356,2.017352651672174,1.9338718116966278,,1.7337736657610356,4.015023665761036,False,168.8,False,,C
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,Ocean / International,USA,North America,North America,,,374703488.9543629,213638833555.09418,25385300932.286774,43.55001017719467,2.5132741228718345,38654.75680344408,84699578914.46185,11692116841.092278,20.05852949235251,Wind,8435884036.103695,20128000877.195972,1.735172489413446,15200.02777997615,1.7325495510554632,2.2275180471550056,3.6077858658709765,,1.7325495510554632,NH3,8819.75284831128,,20097574792.243374,40225575669.43935,3.4677220404689093,0.57275,1.5499840038551607,1.7835529362953797,1.3916678241556204,,1.3916678241556204,1.9644178241556203,True,529.2,True,2.0,C
