,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,759679513.6892388,319899831611.63464,39261511543.31738,48.57414700761788,1.4838692748841569,90785.17603503191,184518305297.41046,22466217052.533302,27.79509211230428,Wind,9524750927.49404,31990967980.027344,1.915626825151338,18440.355817949752,2.062536658326554,2.8029060017125063,4.877445386293381,,2.062536658326554,NH3,7945.080767467395,,34444362194.05345,66435330174.080795,3.978163483477892,0.5424,1.0608836928213197,1.142010434070575,1.2275228966921885,,1.0608836928213197,1.6032836928213197,True,10885.4,True,492.0,C
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,748889327.2130942,315356101295.6572,38703856606.92141,47.8842190910593,1.1603646196107644,116095.69186840764,235961213619.53146,26926941701.73732,33.31387848485342,Wind,9524750927.49404,36451692629.23136,2.1827360855827163,18440.355817949752,,,,,,NH3,7616.860481150902,,,,,0.5424,1.0608836928213197,1.142010434070575,1.2275228966921885,,1.0608836928213197,1.6032836928213197,True,10885.4,True,5536.0,C
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,880503244.95276,370778512146.51733,47726008056.47461,59.04638003720816,2.5132741228718345,53600.73225096549,108941973894.85658,16533200681.463919,20.454793736655514,Wind,9593866871.616268,26127067553.080185,1.5644950630586938,17392.64845231022,3.149317849899408,4.705424329365823,8.942593065560866,,3.149317849899408,NH3,7376.474667141755,,52593608093.320114,78720675646.4003,4.713812912958102,0.5424,1.002125947165367,1.078784989841273,1.157576224228296,,1.002125947165367,1.544525947165367,True,12699.3,True,2322.0,C
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,809085042.9974064,340704421207.0726,43854919901.56042,54.2570890057411,2.5132741228718345,53600.73225096549,108941973894.85658,16533200681.463919,20.454793736655514,Wind,9593866871.616268,26127067553.080185,1.5644950630586938,17209.980990985132,1.8335553073439699,2.402955611352125,4.006679653819601,,1.8335553073439699,NH3,7368.571095439313,,30620373632.6443,56747441185.72449,3.3980503704026637,0.5424,0.9918891936116769,1.067761652822479,1.1454376451762123,,0.9918891936116769,1.534289193611677,True,12699.3,True,10.0,C
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,694407597.6543958,292413931870.68604,37639046522.660965,46.5668413454013,0.24317353421849724,553980.2419957847,1125949190007.269,110511410285.50436,136.72416772096844,Solar,9593866871.616268,47232913394.27724,2.8283181673219904,17209.980990985132,2.0056893073439697,2.704190111352125,4.652182153819601,,2.0056893073439697,NH3,7303.738143656253,,33495011432.644295,80727924826.92154,4.83400747466596,2.1879999999999997,1.0128051717635176,1.109161652822479,1.340654350027858,,1.0128051717635176,3.200805171763517,True,12699.3,True,2554.0,C
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,691588326.2644472,291226741184.79767,37486233265.19557,46.377781542529284,0.2331130235683475,577888.4906180976,1174542029841.7817,115001710860.44014,142.2795452818827,Solar,9593866871.616268,47080100136.811844,2.8191676728629846,16402.583402812423,1.6660616794175487,2.110361746929857,3.1713266446995294,,1.6660616794175487,NH3,7842.92154122762,,27823230046.273064,74903330183.0849,4.485229352280533,2.1879999999999997,0.967575218188353,1.0604380560854014,1.2866083388696423,,0.967575218188353,3.1555752181883525,True,12699.3,True,1861.0,C
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,694843341.1496066,292597422761.5577,37662665172.2028,46.596062221263416,0.7528427183742403,178939.54480192895,363689569151.6998,40073567479.1432,49.57881857666057,Solar,9593866871.616268,47256532043.81906,2.829732457713716,17209.980990985132,2.0528619473439695,2.786742231352125,4.829079553819601,,2.0528619473439695,NH3,7365.370173231877,,34282794520.64429,81539326564.46335,4.882594405057686,2.1879999999999997,1.0128051717635176,1.109161652822479,1.340654350027858,,1.0128051717635176,3.200805171763517,True,12699.3,True,2643.0,C
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,625555304.3185589,263420340958.58572,32329747424.956036,39.99820288137283,0.8094902834755917,166417.48033705127,338238826918.26996,35795652386.72894,44.28620327946868,Solar,9524750927.49404,41854498352.45007,2.506257386374256,16217.262226021843,1.8033131331489087,2.3506731839388317,3.8834006292617778,,1.8033131331489087,NH3,8188.51978258104,,30115329323.586777,71969827676.03685,4.309570519523165,2.1879999999999997,0.9571998756480031,1.049254576697978,1.2742494927758574,,0.9571998756480031,3.145199875648003,True,10885.4,True,1410.0,C
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,587391449.5035173,247349602563.00372,31838439224.39288,39.390358816737866,0.7517865463400301,179190.93390160648,364200510394.1868,40120781837.528336,49.63723194626656,Solar,9593866871.616268,41432306096.00915,2.4809764129346794,16698.066739806785,2.4255844891462712,3.4393347205500877,6.221713889114775,,2.4255844891462712,NH3,7520.210531667562,,40507260968.74273,81939567064.75188,4.906560902080951,2.1879999999999997,0.98412289100739,1.0782694332967484,1.3063494384047099,,0.98412289100739,3.1721228910073895,True,12699.3,True,2678.0,C
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,651696807.5872996,274428486292.31134,35323989170.487335,43.70266389182874,0.4767952758852406,282539.1528538495,574252845471.6125,59531010261.65241,73.6514701114124,Solar,9593866871.616268,44917856042.10361,2.6896919785690785,17092.144542076046,2.735271356854219,3.9810337184689066,7.386949246393404,,2.735271356854219,NH3,7330.930476067241,,45679031659.46546,90596887701.56906,5.424963335423298,2.1879999999999997,1.0062012815020003,1.1020506387425764,1.3327460419555446,,1.0062012815020003,3.194201281502,True,12699.3,True,3336.0,C
