,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,513473836.13130665,264631268645.26486,34062907222.542072,72.2657510315781,2.5132741228718345,31257.77646603325,66796205289.38814,9943261547.7333,21.095006916345458,Wind,7076563293.117346,17019824840.850645,1.7915605095632259,3598.384492007377,3.1120572614814206,4.653878877723911,8.627993136348534,,3.1120572614814206,NH3,7343.492895910329,,29564543984.073494,46584368824.92414,4.9036177710446465,0.5617808219178082,0.4699196259180019,0.5585655605235025,0.36017558177208,,0.36017558177208,0.9219564036898882,True,4345.6,True,71.0,D
1,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,471825632.8591163,243166850999.85016,31300042234.64927,66.4042280545612,2.5132741228718345,31257.77646603325,66796205289.38814,9943261547.7333,21.095006916345458,Wind,7076563293.117346,17019824840.850645,1.7915605095632259,3598.384492007377,1.7965662214814206,2.351769557723912,3.6949017363485335,,1.7965662214814206,NH3,7370.25796783351,,17067379104.073496,34087203944.92414,3.5881267310446465,0.5617808219178082,0.4699196259180019,0.5585655605235025,0.36017558177208,,0.36017558177208,0.9219564036898882,True,4345.6,True,14.0,D
2,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,404950390.6433161,208701063372.06342,26863662012.738014,56.99227896567395,0.24317353421849724,323058.84348420135,690359560711.9493,67564649861.287674,143.34097009137145,Solar,7076563293.117346,33940225305.855362,3.572655295353196,2340.402689217917,1.9585609596195983,2.6383613436336977,4.2715970237240946,,1.9585609596195983,NH3,7313.414433506537,,18606329116.386185,52546554422.24155,5.531216254972794,2.248739726027397,0.4183282625001885,0.5322549114004567,0.5654110453232338,,0.4183282625001885,2.6670679885275854,True,4345.6,True,151.0,D
3,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,403306305.73620164,207853744104.52634,26754596452.399117,56.760892238226496,0.2331130235683475,337001.16590680485,720153561950.7473,70317813112.24863,149.1819104651152,Solar,7076563293.117346,33831159745.516464,3.5611747100543645,2302.8698343499573,1.6197853168841623,2.045618302195287,2.80085311135952,,1.6197853168841623,NH3,7879.135368918738,,15387960510.399542,49219120255.91601,5.180960026938527,2.248739726027397,0.41579528682352157,0.5294828507065017,0.5626351667164001,,0.41579528682352157,2.6645350128509184,True,4345.6,True,91.0,D
4,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,405204498.6041188,208832024109.12204,26880519066.173386,57.02804184459464,0.7528427183742403,104350.29630125411,222991031410.0982,24376699064.873043,51.71609264249853,Wind,7076563293.117346,31453262357.990387,3.310869721893725,2302.8698343499573,2.005353796884162,2.7203631421952874,4.445967880099422,,2.005353796884162,NH3,7382.907234584961,,19050861070.39954,50504123428.38992,5.316223518777887,0.5617808219178082,0.38244921182139174,0.46288285070650176,0.26531069074499225,,0.26531069074499225,0.8270915126628005,True,4345.6,True,105.0,D
5,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,342542906.7027249,176537843971.07645,22723664634.33793,48.209117332868395,0.7517865463400301,104496.89624408563,223304307688.32062,24405647870.026363,51.77750863180925,Solar,7076563293.117346,29800227927.455276,3.1368660976268714,2047.1358109546952,2.376087962786877,3.369976522372248,5.828291248911455,,2.376087962786877,NH3,7549.548199105002,,22572835646.47533,52373063573.9306,5.512954060413748,2.248739726027397,0.39853963329779796,0.510595125889008,0.5437412201809795,,0.39853963329779796,2.6472793593251946,True,4345.6,True,147.0,D
6,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,380043187.46642447,195864528555.08652,25211364093.569046,53.48686619287222,0.4767952758852406,164765.39241026784,352094877509.3572,36306750412.7711,77.02614955774042,Solar,7076563293.117346,32287927386.686394,3.3987291985985677,2302.8698343499573,2.6879397168841623,3.9148885021952866,7.005665080099423,,2.6879397168841623,NH3,7352.50246238043,,25535427310.399544,57823354697.08594,6.08666891548273,2.248739726027397,0.41579528682352157,0.5294828507065017,0.5626351667164001,,0.41579528682352157,2.6645350128509184,True,4345.6,True,208.0,D
7,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,415504097.52028656,214140173689.35864,27563775461.385506,58.477596230089276,0.31675726823571854,248011.23323280065,529986810389.2291,52745144447.92672,111.90082666449622,Solar,7076563293.117346,34640338754.50285,3.6463514478424055,1582.3066808755452,1.7260266796929913,2.23416150996438,3.3737228982228338,,1.7260266796929913,NH3,7714.1780217913565,,16397253457.083418,51037592211.58627,5.372378127535397,2.248739726027397,0.3671888600867913,0.47626428254040787,0.5094872195814357,,0.3671888600867913,2.615928586114188,True,4345.6,True,117.0,D
8,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,376607404.2252871,194093813839.13785,24983440570.412746,53.00331778430441,0.4493109268916041,174844.09131573595,373632520849.7638,38296971453.63939,81.24847906407264,Solar,7076563293.117346,32060003863.53009,3.3747372487926413,1868.698293988948,2.189919806842424,3.044819869288198,5.124124078254342,,2.189919806842424,NH3,7419.432027305218,,20804238165.00303,52864242028.53312,5.564657055635065,2.248739726027397,0.38650270162771183,0.49741628221064144,0.5305784458942105,,0.38650270162771183,2.6352424276551085,True,4345.6,True,159.0,D
9,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,373125329.25340265,192299241550.37167,24752446139.22053,52.51325432773689,0.5893295437631703,133302.93986103588,284861290319.6274,30093921192.63944,63.84539646786244,Solar,7076563293.117346,31829009432.337875,3.35042204550925,3019.214570070164,2.5499039816448286,3.6713908369757675,6.506984993601035,,2.5499039816448286,NH3,7095.769241191787,,24224087825.62587,56053097257.963745,5.900326027154079,2.248739726027397,0.46415889132802873,0.5823898595710649,0.615743814891982,,0.46415889132802873,2.7128986173554255,True,4345.6,True,196.0,D
