,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,23.0,49.0,1103.3950006961825,136.44785,4142,20.129546733333328,54.675535,661.605655582899,916.0604,Ukraine,UKR,Europe,Non-EU Europe,,,1056919778.7412404,590848978896.4146,75026878437.2269,64.33448674089084,0.428663563158122,453424.74465218355,1181202462122.2976,116531277650.574,99.92392184065685,Solar,13869018037.549257,88895896474.77615,3.7351217006208466,3050.3732352301477,1.5879251727275092,2.305765842969453,3.033633978637881,2.3802976,1.5879251727275092,NH3,496.6131115748783,682.7991999999999,37792619110.91472,126688515585.69087,5.323046873348356,2.217,0.2604087416469005,0.3016453488668024,0.5222554539809188,0.003972904892599027,0.003972904892599027,2.2209729048925992,True,385.2,True,498.0,E
1,24.0,49.0,1125.2949798107147,250.18251,3015,28.65831452538937,44.33846,628.694984640264,791.8849,Ukraine,UKR,Europe,Non-EU Europe,,,1036350486.6929789,579350144786.4012,73566739451.19836,63.08243821917198,0.7859715354726551,247294.79108907105,644219839233.7413,67796670427.16083,58.13468566897687,Wind,13869018037.549257,81665688464.71008,3.4313314480970623,3050.3732352301477,1.6387820510833149,2.2926015745923993,3.020469710260827,2.6265955,1.6387820510833149,NH3,569.2657949403148,764.8985,39003012815.78289,120668701280.49298,5.070113499180377,0.5509999999999999,0.23335923499222516,0.24764534886680237,0.28053624102433483,0.004554126359522518,0.004554126359522518,0.5555541263595225,True,385.2,True,472.0,E
2,24.0,50.0,1126.3899874687197,257.5604,4142,20.129546733333328,54.675535,583.1120988706488,778.2805,Ukraine,UKR,Europe,Non-EU Europe,,,1035343009.9469752,578786935904.695,73495222353.23964,63.02111331953322,0.8091498604956486,240210.96233966647,625765980994.3373,66121864772.89937,56.69856351646319,Wind,13869018037.549257,79990882810.44862,3.3609614626238917,1792.3914324406885,1.6542023513548203,2.256268901889135,2.9189894193901984,1.1520834004646026,1.1520834004646026,H2 Gas,591.2947953281797,812.0131,27419584931.05754,107410467741.50616,4.513044863088494,0.5509999999999999,0.1567517407228857,0.1636614808802936,0.19762369232718283,0.004730358362625438,0.004730358362625438,0.5557303583626254,True,385.2,True,427.0,E
3,25.0,48.0,1178.9500069618225,259.96005,3015,28.65831452538937,44.33846,495.3122129222127,640.2681,Ukraine,UKR,Europe,Non-EU Europe,,,989185286.155874,552983422223.9922,70218653968.89313,60.21150228853809,0.8166885833068355,237993.61303627008,619989634450.7314,65597624382.2613,56.24903479871489,Wind,13869018037.549257,79466642419.81056,3.3389345554542254,1754.8585775727283,1.6902521565830069,2.2204285776133825,2.880630608867446,1.1019503041380443,1.1019503041380443,H2 Gas,642.794517082732,860.8235999999999,26226417238.485455,105693059658.29602,4.44088485959227,0.5509999999999999,0.15446787571966866,0.16115575756903588,0.19516135609584206,0.005142356136661856,0.005142356136661856,0.5561423561366617,True,385.2,True,414.0,E
4,25.0,49.0,1141.3550341129303,217.1471,3015,28.65831452538937,44.33846,588.8092578731183,730.1492,Ukraine,UKR,Europe,Non-EU Europe,,,1021767955.7582881,571198084728.6844,72531578791.18388,62.194802599197295,0.6821877341083282,284916.6834122557,742227441081.6166,76691487088.58589,65.76186510768812,Solar,13869018037.549257,86400596828.73314,3.630277177677863,1754.8585775727283,1.6897837065655483,2.257827395593745,2.918029426847808,1.1393491221184064,1.1393491221184064,H2 Gas,642.125302772077,929.7921,27116509106.41807,113517105935.15121,4.769626299796269,2.217,0.18149633439319374,0.2151557575690359,0.435764346608384,0.0051370024221766165,0.0051370024221766165,2.2221370024221767,True,385.2,True,463.0,E
5,25.0,50.0,1117.6300132274628,284.89603,3228,30.64456033199195,46.342805,584.177515795642,762.13,Ukraine,UKR,Europe,Non-EU Europe,,,1043458019.378236,583323462831.9379,74071277261.43832,63.51507225299119,0.8950272748848974,217162.84198340506,565724051582.2347,60672675689.099174,52.02596097504645,Wind,13869018037.549257,74541693726.64844,3.132003938094472,1499.124554177466,1.7025712489061722,2.250613161711257,2.89220688859301,1.035202815929311,1.035202815929311,H2 Gas,660.3932204015397,870.8988,24637827019.1176,99179520745.76604,4.167206754023783,0.5509999999999999,0.13890926382953286,0.1440827503022678,0.1784014934335469,0.005283145763212318,0.005283145763212318,0.5562831457632123,True,385.2,True,353.0,E
6,25.0,51.0,1130.0399839878082,232.21153,3697,21.13581203708845,55.68641,581.3885346614377,771.0596999999999,Ukraine,UKR,Europe,Non-EU Europe,,,1031998881.9197232,576917470813.8307,73257834907.16689,62.81755694320604,0.7295140367268459,266433.0730889609,694076372397.589,72321469662.1734,62.01463699380329,Wind,13869018037.549257,86190487699.72266,3.621449063013557,1754.8585775727283,1.727578719595295,2.254859106309073,2.9150611375631357,1.1363808328337341,1.1363808328337341,H2 Gas,696.1181785288579,1004.0513,27045863821.44287,113236351521.16553,4.7578298958472915,0.5509999999999999,0.15446787571966866,0.16115575756903588,0.19516135609584206,0.005568945428230864,0.005568945428230864,0.5565689454282308,True,385.2,True,460.0,E
7,26.0,49.0,1157.779974937439,194.8725,3228,30.64456033199195,46.342805,456.9523760559475,565.9843000000001,Ukraine,UKR,Europe,Non-EU Europe,,,1007272560.6288155,563094736127.1953,71502603584.02696,61.312470917532984,0.6122100143866771,317483.64466299466,827066601861.6987,84391183506.2098,72.36424584651843,Solar,13869018037.549257,85371621621.57622,3.587042925276312,1034.295424098316,1.7408784516261115,2.1870887900748532,2.7856121809690544,0.7983811080017731,0.7983811080017731,H2 Gas,715.1177957157387,,19001470370.4422,104373091992.01842,4.385424033278085,2.217,0.137658506854405,0.16705038702778519,0.38800295222413234,0.005720942365725909,0.005720942365725909,2.222720942365726,True,385.2,True,404.0,E
8,26.0,50.0,1132.960033416748,238.39035,2181,30.744834388315542,46.49840286467224,524.9254048614619,706.8607,Ukraine,UKR,Europe,Non-EU Europe,,,1029339046.0411986,575430544989.8765,73069022863.77916,62.65565328741139,0.7489253722466996,259527.41604091536,676086663622.4741,70688788540.19833,60.614636031725546,Wind,13869018037.549257,84557806577.74759,3.5528490158717476,1320.6870372117187,1.7514390396371453,2.222598454578123,2.8493758716492685,0.94012696476934,0.94012696476934,H2 Gas,730.2043500172156,,22375021761.510292,106932828339.25787,4.492975980641088,0.5509999999999999,0.12805612726185528,0.132170119423616,0.1667254279771297,0.005841634800137725,0.005841634800137725,0.5568416348001377,True,385.2,True,421.0,E
9,26.0,51.0,1109.2350125312803,196.82568,4075,24.09501611899418,57.0163,681.1198806802829,830.5704000000001,Ukraine,UKR,Europe,Non-EU Europe,,,1051355201.4002203,587738217884.971,74631869396.69547,63.995772077427084,0.6183461103258155,314333.12738759205,818859288946.9194,83646317370.48677,71.72553367388679,Solar,13869018037.549257,88500887434.24472,3.7185246821111226,2471.2033132929346,1.7732391093488133,2.3064041130918596,3.0079866445058836,,1.7732391093488133,NH3,761.3473067481699,,42203090802.501755,130703978236.74648,5.491763791459936,2.217,0.2251151497079316,0.2629795031781965,0.4834899465660209,0.0060907784539853595,0.0060907784539853595,2.2230907784539853,True,385.2,True,520.0,E
