Country,P10,P50,P90,P90-P10 range
Morocco,2.919304264285455,3.4011683028428537,3.8971349088227623,0.9778306445373071
Chile,3.432275461337936,3.9404852701037743,4.451545609137473,1.0192701477995372
Qatar,3.4743437598873728,3.985752460576259,4.49898571639195,1.0246419565045777
Oman,3.483129291033438,3.9916394268725393,4.500317184286498,1.0171878932530598
United Arab Emirates,3.481942432803203,3.996005202437287,4.519460123232843,1.03751769042964
Mexico,3.486975734884915,3.9962704136698792,4.504073347745903,1.0170976128609883
Saudi Arabia,3.509889162905784,4.01734397074312,4.516182200142826,1.0062930372370418
Tunisia,3.5827234390963025,4.073604215096314,4.607328889290097,1.024605450193795
Algeria,3.587701300446574,4.08406997952256,4.607503802439127,1.0198025019925532
Peru,3.673355885780352,4.230793936860552,4.803686695413667,1.130330809633315
Argentina,3.8614972147046682,4.453456269042718,5.0664118989128495,1.2049146842081813
Uruguay,3.908671969257977,4.458544938027879,5.065267528840626,1.156595559582649
Brazil,3.968246236187893,4.593342117744767,5.239368236781175,1.271122000593282
Colombia,4.051404151111163,4.690184413561415,5.341937856294053,1.2905337051828898
Mauritania,4.257929299866493,4.880404337920709,5.636194965142871,1.3782656652763778
Namibia,4.277487627585666,4.967556967708143,5.777295052944829,1.4998074253591627
Ocean / International,4.360272920896273,5.09286429889773,5.903794021861059,1.543521100964786
South Africa,4.393834378000577,5.1127736522842815,5.942544091298783,1.548709713298206
Ecuador,4.4179785005918895,5.183368689259499,6.023349659754214,1.605371159162325
Ethiopia,4.511986713329169,5.288798205779188,6.176523745568556,1.6645370322393864
Senegal,4.560050077390837,5.345999158730198,6.260480944015539,1.7004308666247017
Angola,4.612220348720543,5.3882633865950815,6.284872469527547,1.6726521208070038
Mozambique,4.66339501560038,5.471882253736107,6.4182409434575005,1.7548459278571205
Tanzania,4.700984711422213,5.512362377134991,6.4443026232712874,1.7433179118490747
Cameroon,4.717892574445237,5.531508353271993,6.473424875561056,1.755532301115819
Nigeria,4.735299492604176,5.555705340100068,6.502354302842815,1.7670548102386396
Côte d'Ivoire,4.859838073611613,5.739604523182446,6.769690110576238,1.909852036964625
Ghana,4.874311269631646,5.758544304243566,6.79207181128174,1.917760541650094
