,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Total Yearly Cost,Total Cost per kg H2,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,3050.3732352301477,1.9270563459996723,2.220125387760187,2.9479935234286145,,1.9270563459996723,NH3,8445.575087233432,,2826349307.466186,69446135.25334023,41678966148.982796,4952438096.7267885,67.02542185033566,1.4838692748841569,8299.13075226901,18603478077.683125,2134948093.330787,28.89401013990301,Wind,1155996833.0036407,3290944926.334428,2.24382608613711,6117294233.800613,4.170882432136782,476.298,True,217.0,2029
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,3050.3732352301477,1.907664703634985,2.204331677895998,2.932199813564426,,1.907664703634985,NH3,8111.990885428323,,2797908231.9979777,68459749.89487231,41086974646.281296,4882095630.446852,66.07341934483804,1.1603646196107644,10612.892640305716,23790047592.72555,2565363052.637662,34.71917012268106,Wind,1155996833.0036407,3721359885.6413026,2.53729083111907,6519268117.63928,4.444955534754055,476.298,True,453.0,2029
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,1792.3914324406885,1.8895559831286932,2.183024062340875,2.8457445798419387,,1.8895559831286932,NH3,8046.443374642074,,2771348775.2554164,80491241.81728019,48307824917.163414,5740101892.99301,77.68552444826074,2.5132741228718345,4899.913232491521,10983732046.670462,1502612467.951589,20.33609155227878,Wind,1155996833.0036407,2658609300.9552298,1.8126881597422022,5429958076.210646,3.7022441428708954,151.88573824428616,True,60.0,2029
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8090.788149711213,,2770621740.4633956,73962543.82928795,44389545210.94502,5274518422.871811,71.38440005620798,2.5132741228718345,4899.913232491521,10983732046.670462,1502612467.951589,20.33609155227878,Wind,1155996833.0036407,2658609300.9552298,1.8126881597422022,5429231041.418625,3.701748437330881,151.88573824428616,True,59.0,2029
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8037.400982760813,,2770621740.4633956,63479300.25579332,38097895539.767555,4526922971.213556,61.2665753520679,0.24317353421849724,50642.1275288661,113520287535.28372,10011756562.154974,135.49734371941267,Solar,1155996833.0036407,5682919804.217197,3.8747180483299077,8453541544.6805935,5.763778325918587,151.88573824428616,True,3500.0,2029
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1499.124554177466,1.741473759447357,2.0933418818339478,2.734902913534851,,1.741473759447357,NH3,8611.91283695068,,2554161513.8561234,63221576.441034324,37943219370.79226,4508543816.866234,61.01783512567398,0.2331130235683475,52827.7010997954,118419507854.57205,10418325433.592274,140.9997749637952,Solar,1155996833.0036407,5664540649.869875,3.8621868067294605,8218702163.725998,5.603660566176817,151.88573824428616,True,3349.0,2029
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1754.8585775727283,1.8890602775886791,2.182303692444498,2.8425057236985607,,1.8890602775886791,NH3,8109.86460590045,,2770621740.4633956,63519133.76605505,38121802118.87001,4529763633.160069,61.30502036876081,0.7528427183742403,16357.766145539694,36667857510.88632,3634046701.0128045,49.18254572837341,Wind,1155996833.0036407,4790043534.016445,3.265938773193031,7560665274.479841,5.1549990507817105,151.88573824428616,True,2308.0,2029
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,1034.295424098316,1.8703449835920953,2.164307839652474,2.7628312305466753,,1.8703449835920953,NH3,8981.132914578508,,2743172642.6017394,57185164.91405872,34320391537.733765,4078066954.4079037,55.191837356585616,0.8094902834755917,15213.0610866184,34101866432.45525,3421104226.723866,46.30061991924447,Wind,1155996833.0036407,4577101059.727507,3.1207507225414823,7320273702.3292465,4.991095706133578,476.298,True,1822.0,2029
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1320.6870372117187,1.8824109204765782,2.1726282926335383,2.7994057097046836,,1.8824109204765782,NH3,8280.466581319677,,2760869350.0323143,53696414.49297209,32226574363.13836,3829272396.8370414,51.8246957892279,0.7517865463400301,16380.746890844566,36719371555.45914,3638321668.3749957,49.2404023810465,Wind,1155996833.0036407,4794318501.378636,3.2688535236672522,7555187851.410951,5.1512644441438304,151.88573824428616,True,2291.0,2029
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2471.2033132929346,1.9166582110123322,2.207518046495644,2.909100577909668,,1.9166582110123322,NH3,8080.975981437131,,2811098709.4847536,59574891.55406028,35754615852.3137,4248486419.933703,57.49826428111898,0.4767952758852406,25828.328749008546,57897237916.63409,5395797483.866304,73.0257694314539,Solar,1155996833.0036407,5404483252.937344,3.684874945184553,8215581962.422097,5.6015331561968855,151.88573824428616,True,3348.0,2029
