corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.5018147106083273,6.316870563841394,5.0027055614717,6.855384334700766,2.5930764597949656,4.771592148301059,0.5999694628032692,1.5278432563692999,MAR,H2 Gas,454,#E63946,Ambitious,2025
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.7008357988344436,6.013160701442805,5.713533410635762,7.155285140805109,2.493260397872049,4.208328888959566,0.21629999999999996,1.7724033129830246,MAR,NH3,1355,#F4A261,Ambitious,2025
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,127,4.01935381372421,6.804285076450971,5.961540891964769,8.408635960568464,2.254631119317482,4.39585448333384,1.572397422261285,2.194294519799654,USA,NH3,5140,#2196F3,Ambitious,2025
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.470527514947498,5.776814878037178,4.983476011741137,6.2825115385164505,2.3406834132922785,3.8832357213622566,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Ambitious,2025
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,3.798755874445293,6.774703198880406,6.348799007349709,7.316212355779768,2.8283618175411376,4.690068004857348,0.6493595721292902,2.089812128631583,TUR,NH3,672,#9C27B0,Ambitious,2025
EU,EU Domestic,EU Domestic Production,,,27,23,2.293607916881449,5.003879912341099,4.311518041266105,5.880806845545923,2.293607916881449,5.003879912341099,0.0,0.0,-99,Domestic,315,#009688,Ambitious,2025
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,17,3.370323682018273,4.9803033676694035,4.537105476142387,5.842088138020452,2.4621391882462174,3.567772330756204,0.5999694628032692,1.3489891925564643,MAR,H2 Gas,267,#E63946,Ambitious,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,26,3.5453987090254886,5.595852049311116,5.388300795334774,5.856785061643048,2.3705285213532856,3.761450240581988,0.21629999999999996,1.772193854694735,MAR,NH3,902,#F4A261,Ambitious,2027
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,90,3.906002336743683,5.948020219297365,5.538097042151291,6.726442186644565,2.1403091749392855,3.728325940956119,1.572397422261285,2.121114496907377,USA,NH3,3223,#2196F3,Ambitious,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.3468331100121977,5.499514637738598,4.740733283953933,5.863312360021392,2.2255779030761125,3.6392449179765256,0.8174036413688548,1.8011821005178632,GBR,NH3,190,#4CAF50,Ambitious,2027
