,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-116.0,31.0,1938.1499791145325,41.59796,4109,-116.62098498204458,31.846935,110.92413185891088,161.43370000000002,Mexico,MEX,North America,North America,,,601707820.6366634,280310182608.00214,39843665689.037415,34.16537959958619,0.13068384554032209,1487304.462636856,3099623854079.265,335196277933.9237,287.4260657982539,Solar,16602966898.185635,56446632587.22305,2.371707251563994,2827.3686488189364,1.7486780330522664,2.127311716079995,2.886236029656084,,1.7486780330522664,NH3,9459.172089559126,,41618537186.64394,98065169773.867,4.12038528461626,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,201.0,B
1,-116.0,32.0,1962.969920635224,123.23072,4109,-116.62098498204458,31.846935,61.13083211777302,110.3268,Mexico,MEX,North America,North America,,,594099781.0209,276765919261.5044,39339879338.58133,33.733389931899616,0.38714072464858085,502056.88601502473,1046314012423.4858,119329679801.75917,102.32351209205898,Solar,16602966898.185635,55942846236.76697,2.3505397578473515,2827.3686488189364,1.7077925130522664,2.127311716079995,2.886236029656084,,1.7077925130522664,NH3,9386.527142443947,,40645461810.64394,96588308047.41092,4.0583322708996175,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,163.0,B
2,-115.0,31.0,2002.390022277832,152.91353,4109,-116.62098498204458,31.846935,180.4734575237489,252.5849,Mexico,MEX,North America,North America,,,582404020.7079046,271317360016.24435,38565413812.44437,33.06929670077548,0.4803920224824824,404600.11317892827,843208767053.0863,97977014221.80392,84.01390346578968,Solar,16602966898.185635,55168380710.630005,2.317999189522269,1569.386846029477,1.7496153934145078,2.1072736795084905,2.7948754840037466,,1.7496153934145078,NH3,9386.805995788787,,41640846363.26528,96809227073.8953,4.067614582936777,2.217,0.17020892593301293,0.20277351691768636,0.4234472122133932,,0.17020892593301293,2.387208925933013,True,2259.1,True,165.0,B
3,-115.0,32.0,1942.5300097465515,113.28081,4109,-116.62098498204458,31.846935,154.2342521345406,327.2231,Mexico,MEX,North America,North America,,,600351085.5166444,279678137192.93536,39753825905.18117,34.08834325602913,0.3558821604887012,546154.5653194874,1138215988189.307,128991430048.95746,110.60832622959823,Solar,16602966898.185635,56356792803.366806,2.3679324707296976,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9314.846790359112,,41627367442.19538,97984160245.5622,4.116981522922781,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,197.0,B
4,-114.0,27.0,1981.584963798523,283.14896,4618,-115.18546331293643,28.039035,164.23251780616548,193.8654,Mexico,MEX,North America,North America,,,588518797.4804258,274165975465.34888,38970319836.81619,33.41649788785474,0.8895386926075902,218502.7680998349,455371720584.9356,57203302358.03882,49.05102243014819,Solar,16602966898.185635,55573286735.00183,2.3350120476891525,1531.853991161517,1.7490490521930833,2.1064496991532984,2.791201875929235,,1.7490490521930833,NH3,9600.05847290474,,41627367442.19538,97200654177.1972,4.084061099882236,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,170.0,B
5,-114.0,28.0,1956.765022277832,126.55517,4618,-115.18546331293643,28.039035,116.6631350289475,278.1711,Mexico,MEX,North America,North America,,,595983670.3552935,277643543492.4449,39464626025.030075,33.840358450548855,0.3975847923458074,488868.4638058598,1018828619147.1681,116440111834.70609,99.84574844341115,Solar,16602966898.185635,56067592923.21571,2.3557812152611644,1276.1199677662548,1.7447788898841217,2.1002321378758406,2.7636376680323638,,1.7447788898841217,NH3,9528.404031203272,,41525737579.242096,97593330502.45781,4.100560105145286,2.217,0.1523664684990496,0.18319478633966058,0.4040046052882615,,0.1523664684990496,2.3693664684990496,True,2259.1,True,180.0,B
6,-112.0,25.0,1953.4800863265991,87.35044,2692,-112.11642416049798,24.783635,26.69819015542594,33.6023,Mexico,MEX,North America,North America,,,596985865.4627846,278110423735.5709,39530989009.60258,33.89726377088199,0.274419500591836,708282.998283574,1476100510736.238,164513581145.6959,141.06806820930876,Solar,16602966898.185635,56133955907.78821,2.3585695759574876,1531.853991161517,1.6320308921930833,2.0698926455942455,2.791201875929235,,1.6320308921930833,NH3,9588.882370368028,,38842335234.19538,94976291141.98358,3.990600468150571,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,149.0,B
7,-112.0,26.0,1944.720025062561,120.59638,4520,-112.08568043209875,27.189085,132.02340953042744,243.1007,Mexico,MEX,North America,North America,,,599675009.7549305,279363182137.13715,39709057770.70406,34.0499552141177,0.37886470145752305,513023.9526641632,1069169979206.964,121732551349.18845,104.38394044691172,Solar,16602966898.185635,56312024668.889694,2.3660514566760376,811.2908376871048,1.7342095315596173,2.0848136221079963,2.696223046769254,,1.7342095315596173,NH3,9518.28899244151,,41274186851.11889,97586211520.00858,4.100260988235655,2.217,0.1240989746395439,0.15216242306517794,0.37327099278529147,,0.1240989746395439,2.341098974639544,True,2259.1,True,178.0,B
8,-112.0,29.0,1946.9100403785703,133.95264,2922,-110.87482812626264,27.9124,163.31869329940147,264.32809999999995,Mexico,MEX,North America,North America,,,599000454.9841636,279048935646.58514,39664390352.64235,34.011653535107484,0.4208246297529583,461870.93844951043,962564299569.1246,110524985428.97131,94.77361124075743,Solar,16602966898.185635,56267357250.82799,2.3641746744045373,1097.6824508005077,1.7412614302877296,2.095104927388756,2.7410891305437195,,1.7412614302877296,NH3,9307.033529412352,,41442022040.84796,97709379291.67595,4.1054361046922665,2.217,0.14151334335632365,0.1712821554610088,0.392194642489606,,0.14151334335632365,2.3585133433563237,True,2259.1,True,186.0,B
9,-112.0,31.0,1938.8799262046807,89.07595,2922,-110.87482812626264,27.9124,359.21658129796447,452.2034,Mexico,MEX,North America,North America,,,601481290.4287547,280204651780.9673,39828665395.60126,34.15251706019659,0.27984035013153175,694562.6911033723,1447506640086.7476,161507477800.10477,138.4903771223673,Solar,16602966898.185635,56431632293.786896,2.371076987133903,2248.198726881724,1.7580401265521288,2.1195091645225985,2.850130467695813,,1.7580401265521288,NH3,9166.763686933527,,41841355011.94067,98272987305.72757,4.129117113686032,2.217,0.211532193677466,0.24809153921558927,0.46860636336961536,,0.211532193677466,2.428532193677466,True,2259.1,True,213.0,B
