,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,2067272581.191704,786885820553.4976,96575001528.72946,43.90718166700629,1.4838692748841569,247048.52745661474,489691076988.62463,60058371567.842926,27.30513890045741,Wind,23232087879.827553,83290459447.67047,1.8106621619058798,18440.355817949752,2.062536658326554,2.8029060017125063,4.877445386293381,,2.062536658326554,NH3,7945.080767467395,,94876686283.02148,178167145730.69196,3.8731988202324334,0.5339736842105263,0.9521828766774768,1.0202924942524279,1.1079159813184702,,0.9521828766774768,1.486156560888003,True,14337.4,True,811.0,C
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,2037909861.4577558,775709206486.372,95203288514.68706,43.283541474936094,1.1603646196107644,315924.59223826963,626214838894.4307,71896639072.50916,32.68732842903194,Wind,23232087879.827553,95128726952.3367,2.0680158033116673,18440.355817949752,,,,,,NH3,7616.860481150902,,,,,0.5339736842105263,0.9521828766774768,1.0202924942524279,1.1079159813184702,,0.9521828766774768,1.486156560888003,True,14337.4,True,5525.0,C
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,2396063317.6765733,912036596906.4362,117395869894.84366,53.37325089138881,2.5132741228718345,145860.61900774995,289119892142.1463,44312805447.14171,20.146522062063422,Wind,23403168977.25443,67715974424.39613,1.4720864005303507,17392.64845231022,3.149317849899408,4.705424329365823,8.942593065560866,,3.149317849899408,NH3,7376.474667141755,,144868621095.37277,212584595519.76892,4.621404250429759,0.5339736842105263,0.8990748303160072,0.9631417003266433,1.0446963243407748,,0.8990748303160072,1.4330485145265335,True,16876.2,True,2642.0,C
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,2201717033.4345193,838060703868.0955,107873813056.3999,49.044111126118025,2.5132741228718345,145860.61900774995,289119892142.1463,44312805447.14171,20.146522062063422,Wind,23403168977.25443,67715974424.39613,1.4720864005303507,17209.980990985132,1.8335553073439699,2.402955611352125,4.006679653819601,,1.8335553073439699,NH3,7368.571095439313,,84343544137.82262,152059518562.21875,3.3056417078743205,0.5339736842105263,0.8898223653643463,0.9531774767452201,1.0337251547791986,,0.8898223653643463,1.4237960495748725,True,16876.2,True,16.0,C
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1889651834.6674325,719276329600.2021,92584081268.88853,42.09273633339433,0.24317353421849724,1507514.8719467875,2988144025062.575,293720530064.43005,133.5380840665256,Solar,23403168977.25443,115987250246.14296,2.521461961872673,17209.980990985132,2.0056893073439697,2.704190111352125,4.652182153819601,,2.0056893073439697,NH3,7303.738143656253,,92261708137.8226,208248958383.96558,4.527151269216643,2.159710526315789,0.904372611035192,0.9819774767452202,1.169528079893387,,0.904372611035192,3.0640831373509814,True,16876.2,True,2469.0,C
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1881979912.0495968,716356091998.5992,92208193026.35239,41.92184124573941,0.2331130235683475,1572575.0268550054,3117104021926.5396,305637288789.2555,138.95595910592843,Solar,23403168977.25443,115611362003.60681,2.5132904783392784,16402.583402812423,1.6660616794175487,2.110361746929857,3.1713266446995294,,1.6660616794175487,NH3,7842.92154122762,,76638837253.20724,192250199256.81406,4.179352157756827,2.159710526315789,0.8634937573506318,0.937935204359679,1.1208032628220972,,0.8634937573506318,3.023204283666421,True,16876.2,True,1709.0,C
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1890837598.6163735,719727678322.3949,92642178143.56163,42.1191496907868,0.7528427183742403,486937.98897316796,965191700196.7184,106786322918.93158,48.549690973168865,Solar,23403168977.25443,116045347120.81606,2.522724937409045,17209.980990985132,2.0528619473439695,2.786742231352125,4.829079553819601,,2.0528619473439695,NH3,7365.370173231877,,94431649577.8226,210476996698.63867,4.575586884753014,2.159710526315789,0.904372611035192,0.9819774767452202,1.169528079893387,,0.904372611035192,3.0640831373509814,True,16876.2,True,2559.0,C
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,1702288011.3702714,647958237744.0052,79524330171.13416,36.15520741909859,0.8094902834755917,452862.4083346384,897648258615.8951,95433211662.60556,43.38807450382871,Solar,23232087879.827553,102756418050.9617,2.2338351750209067,16217.262226021843,1.8033131331489087,2.3506731839388317,3.8834006292617778,,1.8033131331489087,NH3,8188.51978258104,,82952404124.84981,185708822175.81152,4.037148308169815,2.159710526315789,0.8541165177978801,0.9278262247608029,1.109661228429049,,0.8541165177978801,3.013827044113669,True,14337.4,True,1315.0,C
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1598434887.480465,608427625597.0741,78315816072.83932,35.60576452786359,0.7517865463400301,487622.07980832824,966547681474.0669,106911624579.21765,48.60665853904275,Solar,23403168977.25443,101718985050.09375,2.2112822836976904,16698.066739806785,2.4255844891462712,3.4393347205500877,6.221713889114775,,2.4255844891462712,NH3,7520.210531667562,,111576886500.72847,213295871550.8222,4.636866772843962,2.159710526315789,0.8784495519628293,0.9540533570566011,1.1386007180462479,,0.8784495519628293,3.0381600782786187,True,16876.2,True,2689.0,C
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,1773425394.9179177,675035943380.99,86889530587.14537,39.50374676738441,0.4767952758852406,768857.7002312398,1524003235936.5195,158424213784.3058,72.02651436677299,Solar,23403168977.25443,110292699564.3998,2.3976673818347782,17092.144542076046,2.735271356854219,3.9810337184689066,7.386949246393404,,2.735271356854219,NH3,7330.930476067241,,125822482415.29408,236115181979.69388,5.132938738688997,2.159710526315789,0.8984040118567551,0.9755496832320585,1.1623983980554644,,0.8984040118567551,3.0581145381725445,True,16876.2,True,3404.0,C
