,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Total Yearly Cost,Total Cost per kg H2,country_cap_kt,within_cap,cap_rank,Year
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,United States of America,USA,North America,North America,,,2827.3686488189364,2.012992833052267,2.7322695225209426,4.477317629656085,,2.012992833052267,NH3,9337.559436742484,,1308445341.4839733,31016030.762689546,21711221533.882683,2664632146.1866436,80.74574135753399,1.4838692748841569,3706.5575179516936,8895738043.084064,1035370726.4607482,31.374603435451377,Wind,766994680.5820752,1802365407.0428233,2.772869856988959,3110810748.5267963,4.785862690041226,317.53200000000004,True,217.0,2026
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,United States of America,USA,North America,North America,,,2827.3686488189364,,,,,,NH3,9027.95638212686,,,30575491.364629433,21402843955.240604,2626784768.1415844,79.59886087609094,1.1603646196107644,4739.92978028264,11375831472.678337,1250424934.2136734,37.89134213873458,Wind,766994680.5820752,2017419614.7957487,3.103722484301152,,,317.53200000000004,True,5316.0,2026
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,1569.386846029477,3.0874682734145082,4.616740945949438,8.467048784003747,,3.0874682734145082,NH3,8482.074701911366,,2006854377.7194304,35948995.91207658,25164297138.453606,3239107468.8027563,98.15393628704057,2.5132741228718345,2188.3990951988476,5252157828.477234,749336452.7484846,22.70697195107809,Wind,772107765.8914967,1521444218.6399813,2.340683413292279,3528298596.3594117,5.428151686706787,101.2571588295241,True,554.0,2026
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,1531.853991161517,1.7714108921930833,2.313807645594246,3.530283775929235,,1.7714108921930833,NH3,8350.733385208914,,1151417079.9255042,33033149.020134,23123204314.0938,2976381314.5403037,90.19260544056895,2.5132741228718345,2188.3990951988476,5252157828.477234,749336452.7484846,22.70697195107809,Wind,772107765.8914967,1521444218.6399813,2.340683413292279,2672861298.5654855,4.112094305485362,101.2571588295241,True,69.0,2026
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,1531.853991161517,1.9435448921930834,2.6150421455942454,4.1757862759292355,,1.9435448921930834,NH3,8259.307115676635,,1263304179.9255042,28351123.10203025,19845786171.421177,2554517372.705888,77.40895844292234,0.24317353421849724,22617.78541877619,54282685005.06286,5280082239.992194,160.0011301774092,Solar,772107765.8914967,3326625138.5973845,5.117884828611361,4589929318.522888,7.061429720804444,101.2571588295241,True,3065.0,2026
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,1276.1199677662548,1.6008788898841217,2.016631864316788,2.6800046992924615,,1.6008788898841217,NH3,8672.988744787363,,1040571278.4246792,28236018.49991407,19765212949.93985,2544146118.4622374,77.09468068645623,0.2331130235683475,23593.906218915374,56625374925.3969,5496562320.843548,166.56107678861287,Solar,772107765.8914967,3316253884.353734,5.101929052851898,4356825162.778413,6.70280794273602,101.2571588295241,True,2705.0,2026
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,1531.853991161517,1.9907175321930832,2.6975942655942458,4.352683675929235,,1.9907175321930832,NH3,8288.835341844135,,1293966395.925504,28368913.54314201,19858239480.199406,2556120342.391587,77.45753286841318,0.7528427183742403,7305.705006162138,17533692014.78913,1884231639.0701828,57.09744243826534,Wind,772107765.8914967,2656339404.9616795,4.086676007633353,3950305800.887183,6.077393539826437,101.2571588295241,True,1763.0,2026
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,Ocean / International,USA,North America,North America,,,811.2908376871048,1.7278513715596173,2.2419115685489435,3.327604946769254,,1.7278513715596173,NH3,8927.649686480703,,1123103391.513751,25540036.571849555,17878025600.29469,2194181550.3355365,66.48978404333049,0.8094902834755917,6794.456868419275,16306696484.20626,1677990789.5710785,50.84777292390292,Wind,766994680.5820752,2444985470.153154,3.761516107927929,3568088861.666905,5.489367479487546,317.53200000000004,True,628.0,2026
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,1097.6824508005077,2.35642727028773,3.3398698738297035,5.70318603054372,,2.35642727028773,NH3,8391.755511965062,,1531677725.6870246,23981890.967504144,16787323677.252901,2160837046.432235,65.47935313198522,0.7517865463400301,7315.968665914049,17558324798.193718,1886507871.5739956,57.166418593674074,Wind,772107765.8914967,2658615637.4654922,4.090177903793065,4190293363.152517,6.446605174080795,101.2571588295241,True,2348.0,2026
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2248.198726881724,2.682294526552129,3.9051790909635455,6.971309467695813,,2.682294526552129,NH3,8240.766780394237,,1743491442.258884,26607336.209335748,18625135346.535023,2397397180.477385,72.64778102416128,0.4767952758852406,11535.447380991252,27685073714.379005,2822286612.54564,85.52310876365095,Solar,772107765.8914967,3169504946.3688817,4.876161455952126,4912996388.627766,7.558455982504254,101.2571588295241,True,3477.0,2026
