,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-17.0,15.0,1737.034935951233,131.02809,3864,-17.395492323651652,14.676105,55.64467169622003,73.1189,Senegal,SEN,Africa,Sub-Saharan Africa,,,78711352.84508616,54960202124.081406,9203329312.771732,67.3130132524392,0.41163688495790224,55358.000681386075,136363363078.45831,18697592889.022533,136.75391536635578,Solar,3605153692.878614,12808483005.650347,4.743882594685314,3070.0786014166206,1.7010564234107886,2.1857867242925346,3.2649836957001166,,1.7010564234107886,NH3,4111.386903647267,,4592852343.209129,17401335348.859474,6.444939018096102,2.3017394957983193,1.2039098061825935,1.600121362296415,0.8103989827782353,,0.8103989827782353,3.1121384785765547,True,1.1,True,250.0,A
1,-16.0,13.0,1656.7350125312803,90.02382,6886,-16.559203892256697,13.37916,73.71693023377476,146.8141,Senegal,SEN,Africa,Sub-Saharan Africa,,,82526396.02213857,57624056022.45825,9649403448.607756,70.57559282518488,0.2828181715600899,80572.59840229747,198474481644.37936,26715813881.975048,195.3990640529945,Solar,3605153692.878614,13254557141.48637,4.909095237587544,3070.0786014166206,1.7600125834107887,2.2889600042925347,3.4860692957001165,,1.7600125834107887,NH3,4225.046147113599,,4752033975.209129,18006591116.6955,6.669107820998333,2.3017394957983193,1.2039098061825935,1.600121362296415,0.8103989827782353,,0.8103989827782353,3.1121384785765547,True,1.1,False,,A
2,-16.0,14.0,1681.5549540519714,127.459175,3066,-16.574810909776545,13.44084,87.70754382385651,127.0862,Senegal,SEN,Africa,Sub-Saharan Africa,,,81308297.07256384,56773518430.9177,9506977161.124916,69.53388908396117,0.4004248078126158,56908.0499344258,140181599403.47107,19190507255.470108,140.35908368679813,Solar,3605153692.878614,13112130854.00353,4.856344760742048,1812.096798627161,1.7318399756675835,2.243394425283905,3.3442784042230147,,1.7318399756675835,NH3,4135.214799500543,,4675967934.302476,17788098788.306007,6.588184736409632,2.3017394957983193,1.1036115013941519,1.4909127499602879,0.7005773690026819,,0.7005773690026819,3.002316864801001,True,1.1,False,,A
3,-16.0,15.0,1703.454933166504,159.9279,3864,-17.395492323651652,14.676105,154.4141606332186,214.0003,Senegal,SEN,Africa,Sub-Saharan Africa,,,80262980.30306332,56043625996.61396,9384753439.664936,68.63994660914602,0.502428315744043,45354.51972733161,111721788444.33595,15516494309.691288,113.48740782862309,Solar,3605153692.878614,12989907132.54355,4.811076715756871,1774.5639437592008,1.8008809464519533,2.3643617114943396,3.601815045178666,,1.8008809464519533,NH3,4046.2548120025813,,4862378555.420274,17852285687.963825,6.611957662208824,2.3017394957983193,1.1006213528680604,1.487654426995636,0.6973158886271721,,0.6973158886271721,2.9990553844254912,True,1.1,False,,A
4,-16.0,17.0,1756.014952659607,269.54532,6897,-16.113889378512603,18.005648335,111.95514811255713,122.6027,Mauritania,MRT,Africa,Sub-Saharan Africa,,,77860595.40143469,54366160739.05177,9378161086.145277,68.59173023388084,0.8468015971215099,26909.957462814476,66287298218.1509,9968257575.554405,72.90768715141635,Solar,3748164238.117545,13126325324.262821,4.861601971949193,1774.5639437592008,1.7277628664519533,2.2364050714943398,3.3276222451786657,1.6047777903821139,1.6047777903821139,H2 Gas,3871.1944759552844,,4332900034.031708,17459225358.29453,6.466379762331307,2.3017394957983193,1.1006213528680604,1.487654426995636,0.6973158886271721,1.4555691229591872,0.6973158886271721,2.9990553844254912,True,44.2,True,253.0,A
5,-16.0,18.0,1757.839994430542,396.4073,3132,-16.03128134356399,18.014364999999998,3.674499776085456,4.7238,Mauritania,MRT,Africa,Sub-Saharan Africa,,,77779758.21524726,54309716173.7964,9368424400.342815,68.52051625922208,1.2453502615093655,18297.98062624153,45073415676.62076,7128168860.989696,52.13532067569998,Wind,3748164238.117545,10876333099.10724,4.028271518187867,1518.829920363939,1.6298171470609706,2.066077494660672,2.7652244763773326,1.5703917779785432,1.5703917779785432,H2 Gas,3785.229444946358,,4240057800.5420666,15116390899.649307,5.598663296166411,0.5800252100840336,1.0357506988114737,1.376533503452702,0.2792567834016522,1.423246271299831,0.2792567834016522,0.8592819934856859,True,44.2,True,187.0,A
6,-16.0,19.0,1778.2800793647766,427.02444,3132,-16.03128134356399,18.014364999999998,109.14625453168406,122.9917,Mauritania,MRT,Africa,Sub-Saharan Africa,,,76885734.33085904,53685463996.52232,9260740918.609516,67.73292088078405,1.3415368436072956,16986.037369431862,41841705852.121506,6695511492.243549,48.970871137231406,Wind,3748164238.117545,10443675730.361095,3.868028048281887,1774.5639437592008,1.7280740664519534,2.2369496714943398,3.328789245178666,1.5364628916196343,1.5364628916196343,H2 Gas,3700.407229049086,,4148449807.3730125,14592125537.734108,5.404490939901521,0.5800252100840336,1.0561139641437038,1.398734426995636,0.30109513387994047,1.3913531181224565,0.30109513387994047,0.8811203439639741,True,44.2,True,165.0,A
7,-15.0,13.0,1653.815050125122,67.05772,3276,-15.580704635140645,11.84803,142.2209160692044,231.341,Senegal,SEN,Africa,Sub-Saharan Africa,,,82672103.95597441,57725796587.25913,9666440356.882147,70.7002005180622,0.21066804051848134,108167.30863352818,266448531356.96997,35490908663.1619,259.5799763319607,Solar,3605153692.878614,13271594049.760761,4.915405203615097,1054.0007902847888,1.8025752437093923,2.3709051611035434,3.5752648814511847,,1.8025752437093923,NH3,4162.922531658306,,4866953158.015359,18138547207.77612,6.717980447324489,2.3017394957983193,1.0432420193029959,1.4251004998108447,0.6348701217735441,,0.6348701217735441,2.9366096175718632,True,1.1,False,,A
8,-15.0,14.0,1673.8899874687197,151.15063,3066,-16.574810909776545,13.44084,181.22184316724255,242.614,Senegal,SEN,Africa,Sub-Saharan Africa,,,81680618.66159776,57033491980.46063,9550510883.64748,69.85229408083799,0.474853708793469,47988.24255976119,118209437897.45973,16354015968.30936,119.61302874142999,Solar,3605153692.878614,13155664576.526094,4.872468361676331,1340.3924033981914,1.81720711768673,2.3948695289961557,3.6450768950367327,,1.81720711768673,NH3,4072.1886920892584,,4906459217.75417,18062123794.280266,6.689675479363061,2.3017394957983193,1.0660417913148983,1.449962886995991,0.6596511662387801,,0.6596511662387801,2.9613906620370996,True,1.1,False,,A
9,-15.0,15.0,1691.77508354187,138.37459,3066,-16.574810909776545,13.44084,242.17007414402153,323.4288,Senegal,SEN,Africa,Sub-Saharan Africa,,,80817108.06477623,56430545706.23,9449544859.047985,69.11383008363207,0.43471659538749974,52418.96720706247,129123641921.15698,17762982701.556896,129.91819040240875,Solar,3605153692.878614,13054698551.9266,4.835073537750592,2490.9086794794075,1.8963809889434056,2.5291043320458506,3.9826739263524535,1.6492239603664638,1.6492239603664638,H2 Gas,3982.309900916159,,4452904692.989452,17507603244.916054,6.484297498117056,2.3017394957983193,1.1577140219107689,1.5498421425641946,0.7597148784087596,1.4973485227444763,0.7597148784087596,3.061454374207079,True,1.1,False,,A
