,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-116.0,31.0,1938.1499791145325,41.59796,4109,-116.62098498204458,31.846935,110.92413185891088,161.43370000000002,Mexico,MEX,North America,North America,,,305910278.5589759,142510639057.00946,20256653564.59465,34.165379599586196,0.13068384554032209,756150.5881473094,1575859186317.61,170414914411.7848,287.42606579825406,Solar,8441004179.329673,28697657743.924324,2.371707251563994,2827.3686488189364,1.7486780330522664,2.2697186225209425,3.486137129656084,,1.7486780330522664,NH3,9459.172089559126,,21159004199.932423,49856661943.85675,4.12038528461626,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,136.0,B
1,-116.0,32.0,1962.969920635224,123.23072,4109,-116.62098498204458,31.846935,61.13083211777302,110.3268,Mexico,MEX,North America,North America,,,302042325.6450793,140708723658.15976,20000526890.623276,33.73338993189961,0.38714072464858085,255247.40843621013,531949560937.99084,60667610319.381775,102.323512092059,Solar,8441004179.329673,28441531069.95295,2.350539757847351,2827.3686488189364,1.7077925130522664,2.1981689625209424,3.332816429656084,,1.7077925130522664,NH3,9386.527142443947,,20664289407.932423,49105820477.885376,4.0583322708996175,2.217,0.2468163270873114,0.2867573849041952,0.5073100936810357,,0.2468163270873114,2.4638163270873115,True,2259.1,True,118.0,B
2,-115.0,31.0,2002.390022277832,152.91353,4109,-116.62098498204458,31.846935,180.4734575237489,252.5849,Mexico,MEX,North America,North America,,,296096161.7884724,137938657823.3847,19606786013.88978,33.06929670077548,0.4803920224824824,205700.0575405476,428690171484.97253,49811843364.866714,84.01390346578972,Solar,8441004179.329673,28047790193.21945,2.317999189522269,1569.386846029477,1.8077833134145078,2.3772922659494378,3.668230184003747,,1.8077833134145078,NH3,9386.805995788787,,21874178092.315544,49921968285.534996,4.125782502936777,2.217,0.17020892593301293,0.20277351691768636,0.4234472122133932,,0.17020892593301293,2.387208925933013,True,2259.1,True,139.0,B
3,-115.0,32.0,1942.5300097465515,113.28081,4109,-116.62098498204458,31.846935,154.2342521345406,327.2231,Mexico,MEX,North America,North America,,,305220509.863504,142189305043.4671,20210978716.499664,34.08834325602913,0.3558821604887012,277666.81682209234,578672834331.5385,65579676621.5288,110.60832622959828,Solar,8441004179.329673,28651982895.829338,2.367932470729697,1531.853991161517,1.8669275321930832,2.4809617655942455,3.888471175929235,,1.8669275321930832,NH3,9314.846790359112,,22589823139.536304,51241806035.36565,4.2348600029227805,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,215.0,B
4,-114.0,27.0,1981.584963798523,283.14896,4618,-115.18546331293643,28.039035,164.23251780616548,193.8654,Mexico,MEX,North America,North America,,,299204934.85349375,139386903492.88742,19812641597.70907,33.41649788785473,0.8895386926075902,111087.54176504216,231512513406.627,29082351198.834873,49.05102243014822,Solar,8441004179.329673,28253645777.038742,2.335012047689152,1531.853991161517,1.7602413721930834,2.2942609855942457,3.488398075929235,,1.7602413721930834,NH3,9600.05847290474,,21298920603.53631,49552566380.57505,4.095253419882235,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,126.0,B
5,-114.0,28.0,1956.765022277832,126.55517,4618,-115.18546331293643,28.039035,116.6631350289475,278.1711,Mexico,MEX,North America,North America,,,303000101.3150861,141154910767.16733,20063948525.330414,33.840358450548855,0.3975847923458074,248542.3702542397,517975894608.4343,59198544252.09849,99.8457484434112,Solar,8441004179.329673,28504952704.660088,2.3557812152611644,1276.1199677662548,1.8234157698841218,2.4060714043167883,3.713750968032364,,1.8234157698841218,NH3,9528.404031203272,,22063330815.597874,50568283520.257965,4.179196985145286,2.217,0.1523664684990496,0.18319478633966058,0.4040046052882615,,0.1523664684990496,2.3693664684990496,True,2259.1,True,171.0,B
6,-112.0,25.0,1953.4800863265991,87.35044,2692,-112.11642416049798,24.783635,26.69819015542594,33.6023,Mexico,MEX,North America,North America,,,303509620.67645764,141392274252.11795,20097687689.755928,33.89726377088199,0.274419500591836,360093.45711055666,750454461340.6927,83639257641.29921,141.06806820930888,Solar,8441004179.329673,28538691869.0856,2.3585695759574876,1531.853991161517,1.6320308921930833,2.0698926455942455,2.909182707189333,,1.6320308921930833,NH3,9588.882370368028,,19747573795.53631,48286265664.62191,3.990600468150571,2.217,0.16792506346760305,0.20026779360642863,0.42095664382951864,,0.16792506346760305,2.384925063467603,True,2259.1,True,101.0,B
7,-112.0,26.0,1944.720025062561,120.59638,4520,-112.08568043209875,27.189085,132.02340953042744,243.1007,Mexico,MEX,North America,North America,,,304876790.6737251,142029180834.42685,20188218446.45038,34.049955214117695,0.37886470145752305,260823.1019847217,543569611277.49023,61889238290.97397,104.38394044691175,Solar,8441004179.329673,28629222625.780052,2.3660514566760376,811.2908376871048,1.7847900915596173,2.3415543285489435,3.541125146769254,,1.7847900915596173,NH3,9518.28899244151,,21595960107.87137,50225182733.65142,4.150841548235655,2.217,0.1240989746395439,0.15216242306517794,0.37327099278529147,,0.1240989746395439,2.341098974639544,True,2259.1,True,153.0,B
8,-112.0,29.0,1946.9100403785703,133.95264,2922,-110.87482812626264,27.9124,163.31869329940147,264.32809999999995,Mexico,MEX,North America,North America,,,304533844.7608562,141869416862.33945,20165509380.965218,34.01165353510748,0.4208246297529583,234816.7376150873,489370925411.1937,56191274104.64509,94.77361124075746,Solar,8441004179.329673,28606513560.29489,2.3641746744045364,1097.6824508005077,1.8088239102877297,2.3815639938297033,3.6496734305437193,,1.8088239102877297,NH3,9307.033529412352,,21886769314.48153,50493282874.77642,4.172998584692266,2.217,0.14151334335632365,0.1712821554610088,0.392194642489606,,0.14151334335632365,2.3585133433563237,True,2259.1,True,168.0,B
9,-112.0,31.0,1938.8799262046807,89.07595,2922,-110.87482812626264,27.9124,359.21658129796447,452.2034,Mexico,MEX,North America,North America,,,305795109.83982897,142456986829.81946,20249027364.990547,34.15251706019658,0.27984035013153175,353118.0068214625,735917241388.6407,82110944595.8516,138.49037712236736,Solar,8441004179.329673,28690031544.32022,2.3710769871339026,2248.198726881724,1.9759028465521289,2.668993650963546,4.322340667695814,,1.9759028465521289,NH3,9166.763686933527,,23908424443.280758,52598455987.60098,4.3469798336860315,2.217,0.211532193677466,0.24809153921558927,0.46860636336961536,,0.211532193677466,2.428532193677466,True,2259.1,True,312.0,B
