,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Solar Array Size,Solar CapEx,Yearly Cost Solar,Elec Cost Solar,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Wind,Elec Cost Wind,Cheaper source,Yearly Cost Electrolyser,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,23.0,49.0,1103.3950006961825,136.44785,4142,20.129546733333328,54.675535,661.605655582899,916.0604,Ukraine,UKR,Europe,Non-EU Europe,,,45893497.27906563,36623010828.694374,9674869113.186865,191.05699045291024,0.428663563158122,19688.57779323536,57736754378.66269,13217173309.68576,261.0095625377706,Solar,1991515420.2165072,11666384533.403372,11.666384533403372,3050.3732352301477,1.5879251727275092,2.6386186064409474,5.319460164120863,2.3802976,1.5879251727275092,NH3,496.6131115748783,682.7991999999999,1587925172.7275093,13254309706.13088,13.254309706130881,2.3017394957983193,1.2023375370762035,1.5984106891435697,0.8086710791895851,0.1867265299521543,0.1867265299521543,2.4884660257504736,True,5.3,False,,E
1,24.0,49.0,1125.2949798107147,250.18251,3015,28.65831452538937,44.33846,628.694984640264,791.8849,Ukraine,UKR,Europe,Non-EU Europe,,,45000338.907317236,35910270448.039154,9486581210.622625,187.33872619716107,0.7859715354726551,10738.01725566151,31489235602.22738,7392722390.061542,145.98970534638624,Wind,1991515420.2165072,9384237810.27805,9.38423781027805,3050.3732352301477,1.6387820510833149,2.7535576264409474,5.420246416404722,2.6265955,1.6387820510833149,NH3,569.2657949403148,764.8985,1638782051.083315,11023019861.361364,11.023019861361364,0.5800252100840336,1.1577960161181715,1.5094906891435695,0.41064010852107685,0.2140439388975584,0.2140439388975584,0.7940691489815921,True,5.3,True,602.0,E
2,24.0,50.0,1126.3899874687197,257.5604,4142,20.129546733333328,54.675535,583.1120988706488,778.2805,Ukraine,UKR,Europe,Non-EU Europe,,,44956592.32197421,35875360672.93542,9477358934.866018,187.1566069115593,0.8091498604956486,10430.423735344055,30587217603.896442,7192560248.845627,142.03695147902914,Wind,1991515420.2165072,9184075669.062134,9.184075669062134,1792.3914324406885,1.6542023513548203,2.8195180664409474,5.29618607984194,1.1520834004646026,1.1520834004646026,H2 Gas,591.2947953281797,812.0131,1152083400.4646025,10336159069.526737,10.336159069526737,0.5800252100840336,1.0575337421126394,1.4002820768074427,0.302618993017256,0.22232684304339562,0.22232684304339562,0.8023520531274293,True,5.3,True,583.0,E
3,25.0,48.0,1178.9500069618225,259.96005,3015,28.65831452538937,44.33846,495.3122129222127,640.2681,Ukraine,UKR,Europe,Non-EU Europe,,,42952334.84300296,34275963204.716362,9054838753.842075,178.8127799049464,0.8166885833068355,10334.14214778274,30304871848.372887,7129906364.894981,140.79967763400313,Wind,1991515420.2165072,9121421785.111488,9.121421785111488,1754.8585775727283,1.6902521565830069,2.8878527664409472,4.878910023698561,1.1019503041380443,1.1019503041380443,H2 Gas,642.794517082732,860.8235999999999,1101950304.1380444,10223372089.249533,10.223372089249533,0.5800252100840336,1.0545446677286228,1.3970237538427908,0.29941098276266304,0.24169073842310726,0.24169073842310726,0.8217159485071409,True,5.3,True,581.0,E
4,25.0,49.0,1141.3550341129303,217.1471,3015,28.65831452538937,44.33846,588.8092578731183,730.1492,Ukraine,UKR,Europe,Non-EU Europe,,,44367137.26114295,35404975534.392075,9353095130.62878,184.70267516508878,0.6821877341083282,12371.632453045464,36279812168.555824,8455774418.900642,166.98260136893072,Wind,1991515420.2165072,10447289839.11715,10.447289839117149,1754.8585775727283,1.6897837065655483,2.9844086664409475,5.148553323698561,1.1393491221184064,1.1393491221184064,H2 Gas,642.125302772077,929.7921,1139349122.1184065,11586638961.235556,11.586638961235556,0.5800252100840336,1.0545446677286228,1.3970237538427908,0.29941098276266304,0.24143911384230102,0.24143911384230102,0.8214643239263346,True,5.3,False,,E
5,25.0,50.0,1117.6300132274628,284.89603,3228,30.64456033199195,46.342805,584.177515795642,762.13,Ukraine,UKR,Europe,Non-EU Europe,,,45308961.69829216,36156551435.237144,9551642391.074238,188.62353875503393,0.8950272748848974,9429.629852843891,27652389543.46471,6541307757.472342,129.17617377019727,Wind,1991515420.2165072,8532823177.6888485,8.532823177688849,1499.124554177466,1.7025712489061722,2.9019580464409476,5.220525882274753,1.035202815929311,1.035202815929311,H2 Gas,660.3932204015397,870.8988,1035202815.9293109,9568025993.61816,9.56802599361816,0.5800252100840336,1.034181884382779,1.3748228302998566,0.2775756986118316,0.24830785087097898,0.24830785087097898,0.8283330609550126,True,5.3,True,555.0,E
6,25.0,51.0,1130.0399839878082,232.21153,3697,21.13581203708845,55.68641,581.3885346614377,771.0596999999999,Ukraine,UKR,Europe,Non-EU Europe,,,44811383.82686749,35759484293.840256,9446747339.159164,186.55209647526397,0.7295140367268459,11569.038408405942,33926205132.650425,7933497674.135704,156.66880571227165,Wind,1991515420.2165072,9925013094.352211,9.925013094352211,1754.8585775727283,1.727578719595295,3.0883715464409476,5.271284823698561,1.1363808328337341,1.1363808328337341,H2 Gas,696.1181785288579,1004.0513,1136380832.833734,11061393927.185946,11.061393927185945,0.5800252100840336,1.0545446677286228,1.3970237538427908,0.29941098276266304,0.26174043512685063,0.26174043512685063,0.8417656452108843,True,5.3,True,603.0,E
7,26.0,49.0,1157.779974937439,194.8725,3228,30.64456033199195,46.342805,456.9523760559475,565.9843000000001,Ukraine,UKR,Europe,Non-EU Europe,,,43737719.219855346,34902699937.444565,9220406677.406155,182.08237547483114,0.6122100143866771,13785.752784229218,40426720039.75218,9375993262.049778,185.1548619621513,Solar,1991515420.2165072,11211922097.622662,11.211922097622661,1034.295424098316,1.7408784516261115,2.873085586093422,4.576384130546677,0.7983811080017731,0.7983811080017731,H2 Gas,715.1177957157387,,798381108.0017731,12010303205.624435,12.010303205624435,2.3017394957983193,1.0416735540578557,1.4233898266579994,0.6331669010682114,0.26888429118911783,0.26888429118911783,2.5706237869874373,True,5.3,False,,E
8,26.0,50.0,1132.960033416748,238.39035,2181,30.744834388315542,46.49840286467224,524.9254048614619,706.8607,Ukraine,UKR,Europe,Non-EU Europe,,,44695888.61795087,35667319117.124794,9422399640.776672,186.0712839781653,0.7489253722466996,11269.181447339242,33046874594.322327,7738369989.639412,152.81547108647362,Wind,1991515420.2165072,9729885409.855919,9.72988540985592,1320.6870372117187,1.7514390396371453,3.0786329990744856,5.035587809704684,0.94012696476934,0.94012696476934,H2 Gas,730.2043500172156,,940126964.76934,10670012374.62526,10.670012374625259,0.5800252100840336,1.0199775279716141,1.3593322138431456,0.26236374776582977,0.27455683560647315,0.26236374776582977,0.8423889578498633,True,5.3,True,588.0,E
9,26.0,51.0,1109.2350125312803,196.82568,4075,24.09501611899418,57.0163,681.1198806802829,830.5704000000001,Ukraine,UKR,Europe,Non-EU Europe,,,45651872.58796239,36430194325.193985,9623931891.150303,190.0510944319426,0.6183461103258155,13648.951241752136,40025549516.43814,9286971589.435894,183.3968833625741,Wind,1991515420.2165072,11278487009.652401,11.278487009652402,2471.2033132929346,1.7732391093488133,3.2731544472606937,5.502849892233771,,1.7732391093488133,NH3,761.3473067481699,,1773239109.3488133,13051726119.001215,13.051726119001215,0.5800252100840336,1.1116168272677658,1.4592114694113492,0.3607869660382506,0.2862665873373119,0.2862665873373119,0.8662917974213455,True,5.3,False,,E
10,27.0,37.0,1675.35005569458,1177.2499,1766,27.24390107219089,37.2518883175,35.37266841671096,352.9493,Ocean / International,TUR,Asia,Non-EU Europe,,,30225716.285418745,24120121595.76416,3880637613.947112,76.6338991137913,2.5132741228718345,3358.0801368058865,9847570001.183262,1615123156.1512501,31.8950639863921,Wind,1351546280.5528755,2966669436.7041254,2.9666694367041253,1167.9531625481063,2.017999485152071,2.5789735468723123,3.955415675792784,0.6832123203259945,0.6832123203259945,H2 Gas,1517.2331205792714,,683212320.3259945,3649881757.03012,3.64988175703012,0.5800252100840336,1.0078217042229727,1.3460729962044269,0.24935839267379137,0.5704796533378061,0.24935839267379137,0.829383602757825,True,6.3,True,1.0,E
11,27.0,39.0,1617.3150849342346,505.77396,26948,26.9667967538279,38.8765009765,14.009131881052092,39.6328,Turkey,TUR,Asia,Non-EU Europe,,,31310321.61506365,24985636648.820793,4019888581.5259337,79.38379376063494,1.5889357571130178,5311.590397901681,15576238841.84668,2319029703.2700057,45.795641335733606,Wind,1351546280.5528755,3670575983.822881,3.6705759838228813,1167.9531625481063,1.767346285152071,2.140330446872312,2.9351316070528815,0.6746669057117312,0.6746669057117312,H2 Gas,1332.9358195429968,,674666905.7117312,4345242889.534613,4.345242889534612,0.5800252100840336,1.0078217042229727,1.3460729962044269,0.24935839267379137,0.5011838681481668,0.24935839267379137,0.829383602757825,True,6.3,True,7.0,E
12,27.0,40.0,1411.820011138916,96.5538,4572,27.06950317296128,40.426275,47.7013887569511,72.87469999999999,Turkey,TUR,Asia,Non-EU Europe,,,35867642.52005086,28622378731.000587,4604996664.84545,90.93836759319758,0.3033327087561781,27823.494356977244,81592397201.83577,10430723253.32752,205.9834163866537,Solar,1351546280.5528755,5956542945.398326,5.956542945398326,5638.92614879398,1.8310391523784422,2.240463073923308,3.36651990652567,,1.8310391523784422,NH3,1245.308765578475,,1831039152.3784423,7787582097.776768,7.787582097776768,2.3017394957983193,1.4091946950579723,1.823129576986065,1.0377609775531973,0.46823609585750675,0.46823609585750675,2.769975591655826,True,6.3,False,,E
13,27.0,41.0,1411.4550375938416,222.26883,1594,27.2083528776008,40.6028829325,47.47560186392804,61.9539,Turkey,TUR,Asia,Non-EU Europe,,,35876917.162384726,28629779895.58301,4606187423.2564945,90.96188240416909,0.6982781234499986,12086.553519198842,35443818195.050606,4760245903.943619,94.00419226174755,Solar,1351546280.5528755,5957733703.80937,5.95773370380937,1081.25396111521,1.7834024877159973,2.1689544360475654,3.057537422512985,0.6533738131317228,0.6533738131317228,H2 Gas,1161.6211439562176,,653373813.1317228,6611107516.9410925,6.611107516941093,2.3017394957983193,1.0454113195843837,1.4274664171568272,0.6372261254841223,0.4367695501275379,0.4367695501275379,2.738509045925857,True,6.3,False,,E
