,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,23.0,49.0,1103.3950006961825,136.44785,4142,20.129546733333328,54.675535,661.605655582899,916.0604,Ukraine,UKR,Europe,Non-EU Europe,,,3050.3732352301477,1.5879251727275092,2.305765842969453,3.033633978637881,2.3802976,1.5879251727275092,NH3,496.6131115748783,682.7991999999999,2.217,0.2604087416469005,0.3016453488668024,0.5222554539809188,0.003972904892599,0.003972904892599,2.2209729048925992,True,385.2,True,498.0,E
1,24.0,49.0,1125.2949798107147,250.18251,3015,28.65831452538937,44.33846,628.694984640264,791.8849,Ukraine,UKR,Europe,Non-EU Europe,,,3050.3732352301477,1.6387820510833149,2.2926015745923993,3.020469710260827,2.6265955,1.6387820510833149,NH3,569.2657949403148,764.8985,0.5509999999999999,0.2333592349922251,0.2476453488668023,0.2805362410243348,0.0045541263595225,0.0045541263595225,0.5555541263595225,True,385.2,True,472.0,E
2,24.0,50.0,1126.3899874687197,257.5604,4142,20.129546733333328,54.675535,583.1120988706488,778.2805,Ukraine,UKR,Europe,Non-EU Europe,,,1792.3914324406885,1.6542023513548203,2.256268901889135,2.9189894193901984,1.1520834004646026,1.1520834004646026,H2 Gas,591.2947953281797,812.0131,0.5509999999999999,0.1567517407228857,0.1636614808802936,0.1976236923271828,0.0047303583626254,0.0047303583626254,0.5557303583626254,True,385.2,True,427.0,E
3,25.0,48.0,1178.9500069618225,259.96005,3015,28.65831452538937,44.33846,495.3122129222127,640.2681,Ukraine,UKR,Europe,Non-EU Europe,,,1754.8585775727283,1.6902521565830069,2.2204285776133825,2.880630608867446,1.1019503041380443,1.1019503041380443,H2 Gas,642.794517082732,860.8235999999999,0.5509999999999999,0.1544678757196686,0.1611557575690358,0.195161356095842,0.0051423561366618,0.0051423561366618,0.5561423561366617,True,385.2,True,414.0,E
4,25.0,49.0,1141.3550341129303,217.1471,3015,28.65831452538937,44.33846,588.8092578731183,730.1492,Ukraine,UKR,Europe,Non-EU Europe,,,1754.8585775727283,1.6897837065655483,2.257827395593745,2.918029426847808,1.1393491221184064,1.1393491221184064,H2 Gas,642.125302772077,929.7921,2.217,0.1814963343931937,0.2151557575690359,0.435764346608384,0.0051370024221766,0.0051370024221766,2.2221370024221767,True,385.2,True,463.0,E
5,25.0,50.0,1117.6300132274628,284.89603,3228,30.64456033199195,46.342805,584.177515795642,762.13,Ukraine,UKR,Europe,Non-EU Europe,,,1499.124554177466,1.7025712489061722,2.250613161711257,2.89220688859301,1.035202815929311,1.035202815929311,H2 Gas,660.3932204015397,870.8988,0.5509999999999999,0.1389092638295328,0.1440827503022678,0.1784014934335469,0.0052831457632123,0.0052831457632123,0.5562831457632123,True,385.2,True,353.0,E
6,25.0,51.0,1130.0399839878082,232.21153,3697,21.13581203708845,55.68641,581.3885346614377,771.0596999999999,Ukraine,UKR,Europe,Non-EU Europe,,,1754.8585775727283,1.727578719595295,2.254859106309073,2.9150611375631357,1.136380832833734,1.136380832833734,H2 Gas,696.1181785288579,1004.0513,0.5509999999999999,0.1544678757196686,0.1611557575690358,0.195161356095842,0.0055689454282308,0.0055689454282308,0.5565689454282308,True,385.2,True,460.0,E
7,26.0,49.0,1157.779974937439,194.8725,3228,30.64456033199195,46.342805,456.9523760559475,565.9843000000001,Ukraine,UKR,Europe,Non-EU Europe,,,1034.295424098316,1.7408784516261115,2.1870887900748532,2.7856121809690544,0.7983811080017731,0.7983811080017731,H2 Gas,715.1177957157387,,2.217,0.137658506854405,0.1670503870277851,0.3880029522241323,0.0057209423657259,0.0057209423657259,2.222720942365726,True,385.2,True,404.0,E
8,26.0,50.0,1132.960033416748,238.39035,2181,30.744834388315542,46.49840286467224,524.9254048614619,706.8607,Ukraine,UKR,Europe,Non-EU Europe,,,1320.6870372117187,1.751439039637145,2.222598454578123,2.8493758716492685,0.94012696476934,0.94012696476934,H2 Gas,730.2043500172156,,0.5509999999999999,0.1280561272618552,0.132170119423616,0.1667254279771297,0.0058416348001377,0.0058416348001377,0.5568416348001377,True,385.2,True,421.0,E
9,26.0,51.0,1109.2350125312803,196.82568,4075,24.09501611899418,57.0163,681.1198806802829,830.5704000000001,Ukraine,UKR,Europe,Non-EU Europe,,,2471.2033132929346,1.7732391093488131,2.3064041130918596,3.0079866445058836,,1.7732391093488131,NH3,761.3473067481699,,2.217,0.2251151497079316,0.2629795031781965,0.4834899465660209,0.0060907784539853,0.0060907784539853,2.2230907784539853,True,385.2,True,520.0,E
